"Aesch_Ag" "Aesch_Eumen" "Aesch_Pers" "Aesch_PromV" "Aesch_Supp" "Athenaeus_Book12" "Athenaeus_Book13" "DioSic_Book11" "Hdt_Book1" "Hesiod_Theog" "Hesiod_Works" "Homer_Iliad" "HomerJr_Odyssey" "Lysias_Book15" "Lysias1" "Lysias14" "Plato_Euth" "Plut_Lyc" "Polybius_Book1" "Soph_Ajax" "Soph_Elec" "Soph_Trach" "Thuc_Book1"
"auxz-pred-root" 0.479298388741587 0.501567398119122 0.191387559808612 0.708415981864551 0.605143721633888 0.285074322948483 0.537719436976119 0.0640307347526813 0.464389167318038 0.0616827041697508 0.158478605388273 0.300565631385047 0.411130787644719 0.872093023255814 0.176429075511644 0.535523027490182 0.787272429063474 0.252147926783713 0.198103863025329 1.19273801984378 1.06778529888455 0.521187400861092 0.182215743440233
"obj-adv-pred-co-coord-root" 0.56088109320824 0.266457680250784 0.462519936204147 0.226693114196656 0.201714573877963 0.0967216452860925 0.150245136802151 0.416199775892428 0.377028828911674 0.468788551690106 0.446621524276041 0.57273136059198 0.439607378996734 0 0.0705716302046577 0.0714030703320243 0.0984090536329342 0.102726933134105 0.180416018112353 0.316656111462951 0.238344932786729 0.181282574212554 0.240524781341108
"coord-pred-co-coord-root" 0.163165408933306 0.250783699059561 0.334928229665072 0.155851516010201 0.201714573877963 0.218896355121157 0.122568401075439 0.304145990075236 0.239091452480574 0.715519368369109 0.54747154588676 0.401543061351678 0.473423331227252 0.145348837209302 0.105857445306987 0.142806140664049 0.262424143021158 0.252147926783713 0.237017121833876 0.126662444585181 0.0667365811802841 0.135961930659415 0.386297376093294
"pred-co-coord-coord-root" 0.132571894758311 0.0940438871473354 0.494417862838915 0.0991782374610371 0.100857286938981 0.213805742211362 0.122568401075439 0.400192092204258 0.432203779484114 0.555144337527757 0.950871632329635 0.277687932408233 0.423589296361226 0.290697674418605 0.811573747353564 0.321313816494109 0.574052812858783 0.242809114680613 0.311306070468374 0.295545704032088 0.371818095147297 0.385225470201677 0.298833819241982
"obj-co-coord-pred-root" 0.173363246991638 0.391849529780564 0.223285486443381 0.311703032020402 0.184905026054799 0.544695581347994 0.585165269650482 0.48023051064511 0.528759942985884 0.135701949173452 0.259328626998992 0.239032509999132 0.237601559093377 0.436046511627907 0.494001411432604 0.464119957158158 0.196818107265868 0.915203586103848 0.403282864015848 0.36943213004011 0.171608351606445 0.192612735100838 0.379008746355685
"obj-co-coord-pred-co-coord-root" 0.0815827044666531 0.141065830721003 0.111642743221691 0.226693114196656 0.28576231299378 0.193443290572185 0.106753123517318 0.160076836881703 0.174720676812727 0.912904021712312 0.432214378331652 0.383398679404549 0.476093011666504 0.290697674418605 0.0705716302046577 0.249910746162085 0.147613580449401 0.177437429958909 0.159190604216782 0.158328055731476 0.0190675946229383 0.0906412871062769 0.247813411078717
"exd-pred-root" 0.37732000815827 0.501567398119122 0.669856459330144 0.439217908756022 0.689191460749706 0.111993484015475 0.27676735726712 0 0.0965561635017702 0.123365408339502 0.0576285837775537 0.303721176071505 0.369305794096447 1.01744186046512 0.670430486944248 0.678329168154231 0.492045268164671 0.0280164363093015 0 0.728309056364788 0.800838974163409 0.8837525492862 0.043731778425656
"auxc-pred-co-coord-root" 0.244748113399959 0.266457680250784 0.287081339712919 0.170019835647492 0.168095478231636 0.0916310323762981 0.118614581685909 0.0320153673763406 0.16552485171732 0.209721194177153 0.576285837775537 0.407854150724592 0.439607378996734 0.145348837209302 0.176429075511644 0.214209210996073 0.68886337543054 0.121404557340306 0.0424508277911419 0.158328055731476 0.209743540852321 0.260593700430546 0.306122448979592
"auxx-exd-pred-root" 0.407913522333265 0.501567398119122 0.606060606060606 0.538396146217059 0.689191460749706 0.0661779678273264 0.355843745057726 0 0.0735666007632535 0.123365408339502 0.0576285837775537 0.0489109426400865 0.449396207273989 1.88953488372093 1.23500352858151 1.28525526597644 0.770870920124651 0.00933881210310048 0 0.981633945535149 0.934312136523977 1.18966689326988 0.0801749271137026
"adv-co-coord-pred-root" 0.12237405669998 0.188087774294671 0.143540669856459 0.240861433833947 0.252143217347453 0.493789452250051 0.54562707575518 0.49623819433328 0.464389167318038 0.123365408339502 0.115257167555107 0.108077405511159 0.13170423500307 0.290697674418605 0.494001411432604 0.357015351660121 0.114810562571757 0.709749719835637 1.16032262629121 0.126662444585181 0.0953379731146916 0.192612735100838 0.561224489795918
"atr-adv-auxp-pred-root" 0.193758923108301 0.250783699059561 0.111642743221691 0.028336639274582 0.369810052109598 0.957035227041336 0.83425589119089 0.608291980150472 0.533357855533588 0.246730816679003 0.201700043221438 0.107288519339545 0.0969983892928016 0.145348837209302 0.352858151023289 0.214209210996073 0.0820075446941119 0.345536047814718 0.806565728031697 0.168883259446907 0.181142148917914 0.1472920915477 0.306122448979592
"atr-obj-adv-pred-root" 0.509891902916582 0.532915360501567 0.462519936204147 0.510059506942477 0.437048243402252 0.509061290979434 0.628657282935316 0.624299663838643 0.432203779484114 0.111028867505551 0.172885751332661 0.0978218852801729 0.0925489218940493 0.436046511627907 0.247000705716302 0.142806140664049 0.0328030178776447 0.429585356742622 0.778265176170935 0.474984167194427 0.295547716655544 0.407885791978246 0.204081632653061
"adv-adv-pred-co-coord-root" 0.234550275341628 0.0626959247648903 0.159489633173844 0.028336639274582 0.0672381912926542 0.0356342903685604 0.0632611102324846 0.0960461021290219 0.105751988597177 0.382432765852455 0.461028670220429 0.442565142275621 0.268747830884643 0 0.0352858151023289 0.0357015351660121 0 0.0840493089279044 0.106127069477855 0.327211315178383 0.0858041758032224 0.0339904826648538 0.196793002915452
"auxx-auxc-pred-co-coord-root" 0.193758923108301 0.0940438871473354 0.223285486443381 0.127514876735619 0.100857286938981 0.0865404194665038 0.0790763877906057 0.048023051064511 0.133339463883397 0.209721194177153 0.576285837775537 0.277687932408233 0.407571213725717 0.290697674418605 0.105857445306987 0.214209210996073 0.311628669837625 0.0840493089279044 0.0459883967737371 0.158328055731476 0.171608351606445 0.249263539542261 0.255102040816327
"auxx-adv-pred-root" 0.316132979808281 0.282131661442006 0.207336523125997 0.198356474922074 0.23533366952429 0.249440032579923 0.395381938953029 0.768368817032175 0.537955768081291 0.172711571675302 0.302550064832157 0.0528553734981579 0.133484021962571 0 0.494001411432604 0.214209210996073 0.0164015089388224 0.644378035113934 0.838403848875053 0.485539370909859 0.238344932786729 0.305914343983685 0.247813411078717
"adv-adv-pred-root" 0.275341627574954 0.297805642633229 0.159489633173844 0.184188155284783 0.168095478231636 0.23416819385054 0.328167009331014 0.352169041139747 0.271276840314497 0.271403898346904 0.388992940498487 0.226410331253303 0.145052637199327 0.290697674418605 0.388143966125618 0.0357015351660121 0.0328030178776447 0.317519611505417 0.452808829772181 0.591091408064176 0.209743540852321 0.113301608882846 0.269679300291545
"obj-obj-pred-root" 0.418111360391597 0.454545454545455 0.191387559808612 0.580901105128932 0.336190956463271 0.330889839136632 0.55353471453424 0.336161357451577 0.395420479102487 0.0370096225018505 0.0864428756663305 0.151466144949945 0.123695193685316 0.290697674418605 0.423429781227946 0.464119957158158 0.311628669837625 0.38289129622712 0.222866845903495 0.453873759763563 0.476689865573458 0.271923861318831 0.196793002915452
"pnom-pred-root" 0.305935141749949 0.423197492163009 0.223285486443381 0.212524794559365 0.420238695579089 0.615964162085115 0.69587221255733 0.224107571634384 0.514966205342774 0.0123365408339502 0.259328626998992 0.0978218852801729 0.0943287088535502 0.145348837209302 0.494001411432604 0.464119957158158 0.295227160898803 0.298841987299216 0.258242535729447 0.200548870593202 0.419487081704643 0.2945841830954 0.371720116618076
"atr-obj-auxp-pred-co-coord-root" 0.0917805425249847 0.156739811912226 0.207336523125997 0.155851516010201 0.168095478231636 0.0458155161881491 0.027676735726712 0.368176724827917 0.170122764265024 0.259067357512953 0.129664313499496 0.353421004883205 0.316802078791169 0 0.0705716302046577 0.0357015351660121 0.0492045268164671 0.018677624206201 0.162728173199377 0.0316656111462951 0.0667365811802841 0.0906412871062769 0.102040816326531
"coord-coord-root" 0.0917805425249847 0.0783699059561129 0.350877192982456 0.0850099178237461 0.0840477391158178 0.132355935654653 0.0988454847382572 0.272130622698895 0.252885190123684 0.271403898346904 0.648321567497479 0.176710502441603 0.306123357034163 0.145348837209302 0.458715596330275 0.178507675830061 0.442840741348204 0.224131490474412 0.275930380642423 0.179438463162339 0.238344932786729 0.249263539542261 0.225947521865889
"adv-auxc-pred-co-coord-root" 0.163165408933306 0.156739811912226 0.191387559808612 0.113346557098328 0.0672381912926542 0.0763591936469151 0.0988454847382572 0.0160076836881703 0.119545726240287 0.160375030841352 0.403400086442876 0.300565631385047 0.320361652710171 0.145348837209302 0.0352858151023289 0.107104605498036 0.311628669837625 0.0933881210310049 0.0424508277911419 0.105552037154317 0.143006959672037 0.1472920915477 0.233236151603499
"obj-adv-auxc-pred-root" 0.173363246991638 0.172413793103448 0.223285486443381 0.297534712383111 0.268952765170617 0.208715129301568 0.181875691918393 0.112053785817192 0.262081015219091 0.0986923266716013 0.129664313499496 0.200377087590032 0.266078150445392 0.581395348837209 0.282286520818631 0.321313816494109 0.147613580449401 0.0747104968248039 0.10966463846045 0.232214481739498 0.572027838688149 0.396555631089962 0.204081632653061
"atr-adv-auxp-pred-co-coord-root" 0.112176218641648 0.0470219435736677 0.207336523125997 0 0.134476382585308 0.167990226023213 0.225367705203226 0.51224587802145 0.326451790886937 0.604490500863558 0.216107189165826 0.216154811022318 0.190437204666601 0 0.0705716302046577 0.107104605498036 0.114810562571757 0.0933881210310049 0.417433139946229 0.0844416297234537 0.0762703784917533 0.113301608882846 0.357142857142857
"auxy-coord-pred-root" 0.0815827044666531 0.125391849529781 0.175438596491228 0.028336639274582 0.168095478231636 0.325799226226838 0.288628815435711 0.240115255322555 0.395420479102487 0.123365408339502 0.302550064832157 0.191699339702274 0.14950210459808 0.581395348837209 0.211714890613973 0.428418421992146 0.0984090536329342 0.438924168845723 0.364369605207302 0.105552037154317 0.133473162360568 0.135961930659415 0.349854227405248
"obj-auxp-pred-root" 0.387517846216602 0.172413793103448 0.239234449760766 0.368376310569566 0.336190956463271 0.188352677662391 0.173968053139333 0.416199775892428 0.262081015219091 0.123365408339502 0.144071459443884 0.197221542903574 0.20734518078186 0 0 0.0357015351660121 0.0492045268164671 0.158759805752708 0.275930380642423 0.274435296601224 0.219277338163791 0.169952413324269 0.116618075801749
"sbj-coord-root" 0.0203956761166633 0.0783699059561129 0.143540669856459 0.127514876735619 0 0.142537161474242 0.197690969476514 0.400192092204258 0.211503977194354 0.0616827041697508 0.230514335110215 0.237454737655904 0.256289322168136 0 0.31757233592096 0.178507675830061 0.0492045268164671 0.149420993649608 0.283005518607613 0.0105552037154317 0.0858041758032224 0.0793111262179923 0.306122448979592
"auxg-pred-root" 0 0 0 0 0 0.11708409692527 0.114660762296378 0 0.174720676812727 0.0123365408339502 0 0.0425998532671721 0.67542915113061 0 0.141143260409315 0 0.0164015089388224 0 0.0283005518607613 0.0105552037154317 0 0 0.21865889212828
"sbj-co-coord-pred-root" 0.0815827044666531 0.172413793103448 0.143540669856459 0.113346557098328 0.28576231299378 0.447973936061902 0.395381938953029 0.272130622698895 0.197710239551244 0.074019245003701 0.172885751332661 0.17434384392676 0.129924448043569 0.436046511627907 0.0705716302046577 0.285612281328097 0.0984090536329342 0.420246544639522 0.22640441488609 0.116107240869749 0.22881113547526 0.215273056877408 0.32069970845481
"auxp-adv-pred-root" 0.152967570874975 0.329153605015674 0.0318979266347687 0.14168319637291 0.184905026054799 0.509061290979434 0.395381938953029 0.400192092204258 0.363235091268564 0.172711571675302 0.158478605388273 0.0915107959072585 0.084539880576295 0.145348837209302 0.247000705716302 0.107104605498036 0.0328030178776447 0.308180799402316 0.643837554832319 0.211104074308634 0.133473162360568 0.158622252435985 0.138483965014577
"atr-obj-adv-pred-co-coord-root" 0.469100550683255 0.0940438871473354 0.334928229665072 0.198356474922074 0.117666834762145 0.0763591936469151 0.110706942906848 0.432207459580599 0.248287277575981 0.259067357512953 0.172885751332661 0.254810233431418 0.172639335071592 0 0 0 0.0328030178776447 0.0560328726186029 0.176878449129758 0.253324889170361 0.143006959672037 0.0679809653297077 0.153061224489796
"auxx-pred-co-coord-root" 0 0.0783699059561129 0.0159489633173844 0 0.0336190956463271 0.2698024842191 0.513996520638937 0.97646870497839 0.928778334636075 0 0 0.00709997554452868 0.0115686152367562 0.145348837209302 0.741002117148906 0.428418421992146 0 0.532312289876728 0.498797226545918 0 0 0 0.838192419825073
"auxp-adv-pred-co-coord-root" 0.152967570874975 0.0940438871473354 0.0797448165869219 0.0566732785491641 0.0336190956463271 0.0610873549175321 0.0869840265696663 0.240115255322555 0.156329026621914 0.296076980014804 0.158478605388273 0.242188054685589 0.210904754700862 0 0.105857445306987 0.0357015351660121 0.0656060357552895 0.0933881210310049 0.141502759303806 0.147772852016044 0.0286013919344075 0.0226603217765692 0.131195335276968
"pnom-pred-co-coord-root" 0.0815827044666531 0.235109717868339 0.0956937799043062 0.0425049589118731 0.134476382585308 0.188352677662391 0.233275343982287 0.128061469505363 0.252885190123684 0.0863557858376511 0.302550064832157 0.160143892837702 0.170859548112091 0 0.0705716302046577 0.0357015351660121 0.393636214531737 0.168098617855809 0.123814914390831 0.105552037154317 0.0953379731146916 0.101971447994562 0.400874635568513
"obj-pred-co-coord-coord-root" 0.0611870283499898 0.0470219435736677 0.175438596491228 0.0850099178237461 0.0504286434694907 0.0967216452860925 0.083030207180136 0.224107571634384 0.183916501908134 0.320750061682704 0.561878691831148 0.140421738547345 0.195776565545104 0.290697674418605 0.352858151023289 0.249910746162085 0.262424143021158 0.112065745237206 0.159190604216782 0.179438463162339 0.200209743540852 0.169952413324269 0.145772594752187
"sbj-co-coord-pred-co-coord-root" 0.0407913522333265 0.109717868338558 0.271132376395534 0.028336639274582 0.0672381912926542 0.0661779678273264 0.0395381938953029 0.240115255322555 0.0919582509540669 0.493461633358006 0.187292897277049 0.242188054685589 0.196666459024855 0 0 0 0.0820075446941119 0.121404557340306 0.0459883967737371 0.0422208148617268 0 0.113301608882846 0.153061224489796
"auxg-coord-root" 0 0 0 0 0 0.0203624516391774 0.0158152775581211 0 0.0367833003816267 0.0246730816679003 0 0.0607442352143009 0.5641924661618 0 0 0 0 0 0 0.0105552037154317 0 0 0.0510204081632653
"adv-obj-pred-root" 0.244748113399959 0.172413793103448 0.0797448165869219 0.269198073108529 0.23533366952429 0.30543677458766 0.355843745057726 0.128061469505363 0.331049703434641 0 0.100850021610719 0.108077405511159 0.0827600936167941 0.145348837209302 0 0.0357015351660121 0.147613580449401 0.326858423608517 0.11673977642564 0.390542537470973 0.209743540852321 0.249263539542261 0.131195335276968
"sbj-adv-auxc-pred-root" 0.142769732816643 0.188087774294671 0.143540669856459 0.0708415981864551 0.184905026054799 0.290164935858277 0.399335758342559 0.128061469505363 0.23449353993287 0.0493461633358006 0.0720357297219421 0.105710746996316 0.145942530679078 0.145348837209302 0.211714890613973 0.249910746162085 0.114810562571757 0.205453866268211 0.0955143625300693 0.126662444585181 0.257412527409667 0.192612735100838 0.116618075801749
"auxx-adv-pred-co-coord-root" 0.234550275341628 0.156739811912226 0.271132376395534 0.0991782374610371 0.151285930408472 0.0356342903685604 0.0632611102324846 0.256122939010725 0.262081015219091 0.185048112509252 0.432214378331652 0.101766316138244 0.238491452573127 0.145348837209302 0.0352858151023289 0.107104605498036 0.0328030178776447 0.0933881210310049 0.127352483373426 0.274435296601224 0.0762703784917533 0.101971447994562 0.065597667638484
