,Mean Freq,Thuc_Book1,Aesch_Ag,Aesch_Cho,Aesch_Eumen,Aesch_Pers,Aesch_PromV,Aesch_Septem,Aesch_Supp,Athenaeus_Book12,Athenaeus_Book13,DioSic_Book11,Hdt_Book1,Hesiod_Theog,Hesiod_Works,Homer_Iliad,HomerJr_Odyssey,Lysias_Orat1,Lysias_Orat14,Plato_Euth,Plut_Lyc,Polybius_Book1,Soph_Ajax,Soph_Antig,Soph_Elec,Soph_OT,Soph_Trach
atr-obj-pred-root,1.120,0.459183673,1.652049765,1.846482527,1.630094044,1.052631579,2.238594503,1.460205392,2.23566986,0.96212584,1.593389214,1.312630062,0.965561635,0.59215396,0.446621524,0.594031287,0.532156301,0.917431193,0.464119957,0.295227161,0.915203586,0.965756332,1.234958835,1.302708262,1.13452188,1.144389808,1.178336732
auxp-pred-root,0.755,0.655976676,0.856618397,0.91561117,0.736677116,0.462519936,0.637574384,0.818356868,1.092620609,1.552636937,1.573620117,0.992476389,0.947169985,0.456452011,0.518657254,0.460709524,0.46541429,0.564573042,0.249910746,0.229621125,0.75644378,1.333663506,0.696643445,0.6284996,0.705501001,0.759946357,0.555177884
auxy-pred-co-coord-root,0.355,0.102040816,0.346726494,0.381504654,0.501567398,0.398724083,0.297534712,0.353016688,0.353000504,0.076359194,0.027676736,0.032015367,0.110349901,0.900567481,0.475435816,1.150984924,1.110587063,0,0,0.738067902,0.037355248,0.045988397,0.411652945,0.491372415,0.314615311,0.277156907,0.305914344
auxz-pred-co-coord-root,0.368,0.174927114,0.275341628,0.274683351,0.454545455,0.207336523,0.609237744,0.385109114,0.302571861,0.117084097,0.181875692,0.048023051,0.225297715,0.283740439,1.051721654,0.953763381,0.977103041,0.07057163,0.214209211,0.639658849,0.102726933,0.127352483,0.411652945,0.365672495,0.333682906,0.339740724,0.441876275
auxc-pred-root,0.632,0.604956268,0.499694065,0.793529681,0.485893417,0.366826156,0.651742703,0.41720154,0.605143722,0.824679291,0.854024988,0.320153674,0.675893145,0.123365408,0.244921481,0.411798582,0.549064277,1.164431898,0.821135309,0.754469411,0.476279417,0.304230933,0.633312223,0.674208662,1.201258461,0.902995083,1.065035123
auxx-auxc-pred-root,0.539,0.539358601,0.407913522,0.71722875,0.360501567,0.271132376,0.453386228,0.336970475,0.521095983,0.64650784,0.802625336,0.256122939,0.620718194,0.123365408,0.259328627,0.311610038,0.512578644,0.635144672,0.606926098,0.688863375,0.522973478,0.268855243,0.591091408,0.537081476,1.02965011,0.902995083,1.087695445
coord-pred-root,0.540,0.772594752,0.275341628,0.503586144,0.548589342,0.33492823,0.425049589,0.513478819,0.470667339,0.911219711,0.830302072,0.720345766,0.717274357,0.197384653,0.331364357,0.294254542,0.308793037,0.670430487,0.571224563,0.31162867,1.204706761,1.011744729,0.390542537,0.50279968,0.333682906,0.536432722,0.339904827
obj-auxp-pred-co-coord-root,0.226,0.189504373,0.193758923,0.183122234,0.282131661,0.366826156,0.240861434,0.20860077,0.252143217,0.071268581,0.06721493,0.320153674,0.21610189,0.431778929,0.288142919,0.78099731,0.722593506,0.035285815,0.035701535,0.049204527,0.037355248,0.159190604,0.147772852,0.205690778,0.10487177,0.125167635,0.158622252
adv-auxp-pred-root,0.478,0.466472303,0.428309198,0.473065771,0.532915361,0.207336523,0.240861434,0.401155327,0.689191461,1.237018937,1.257314566,0.560268929,0.634511932,0.333086603,0.374585795,0.231932534,0.224253157,0.494001411,0.178507676,0.114810563,0.513634666,0.948068487,0.401097741,0.365672495,0.362284298,0.375502906,0.373895309
adv-auxp-pred-co-coord-root,0.316,0.539358601,0.224352437,0.167862048,0.250783699,0.28708134,0.085009918,0.513478819,0.268952765,0.249440033,0.292582635,0.496238194,0.344843441,0.986923267,0.60510013,0.643731116,0.475203118,0.105857445,0.142806141,0.246022634,0.186776242,0.392670157,0.137217648,0.12569992,0.152540757,0.107286544,0.181282574
