"aesch_ag" "aesch_co" "aesch_eumen" "aesch_pers" "aesch_pv" "aesch_sept" "aesch_suppl" "athen_book12" "athen_book13" "hdt_book1" "hesiod_theog" "hesiod_works" "IliadPoet_iliad" "lysias_oration1" "lysias_oration14" "odysseyPoet_od" "plato_euthyp" "polybius_book1" "soph_ajax" "soph_ant" "soph_elec" "soph_ot" "soph_trach" "thuc_book1"
"auxkroot" 6.93179866002405 7.58922648268542 7.04377104377104 6.86903235000713 7.23247232472325 7.12031828783098 7.63292061179898 4.86719023560602 5.69928029566232 4.73280338188669 4.89814093287321 6.06922126081582 5.77827236055084 4.72829922371207 3.57015351660121 5.93434758321559 5.76086956521739 3.53519284476968 7.0189556509299 7.3328025477707 7.3328025477707 6.94267991928854 6.5760976570191 3.69033293221019
"predroot" 13.3825803126611 11.9145548626775 12.6195286195286 7.70984751318227 12.8044280442804 12.1964604198107 12.2505462490896 4.28192686709019 4.92511184594437 3.55649496852456 2.24869197372815 5.85908529048208 3.60620392265962 3.74029640084686 2.99892895394502 3.0747872375382 7.79891304347826 2.73270406900696 11.3376251788269 13.6464968152866 13.6464968152866 14.0871384799342 11.4786375270723 2.51370504078085
"predcocoordroot" 4.01992784744889 4.89584715404007 5.88552188552189 5.51517742625053 4.0590405904059 4.67828234325696 3.75819373634377 1.35561002451103 1.58723983660766 2.40316132886091 6.87966158299009 9.64153275648949 7.70274029767701 1.55257586450247 1.03534451981435 7.1320605921204 6.10054347826087 1.54134408031958 3.22782546494993 3.74203821656051 3.74203821656051 3.44518346909797 3.79011616459933 2.75437892766413
"coordroot" 1.99278474488919 2.24227146079342 2.11447811447811 3.03548525010688 2.12792127921279 2.51063245987104 2.35979606700656 0.700315141813816 0.789729624586656 1.29118228185452 3.47322720694645 4.05438813349815 3.970649603561 0.917431192660551 0.535523027490182 3.92583708474353 2.55434782608696 0.844911089899954 3.18311874105866 1.74363057324841 1.74363057324841 1.77116807413497 1.72278007481788 1.44404332129964
"advpredcocoordroot" 1.15959457137949 1.12776966962983 1.1043771043771 1.63887701296851 1.13161131611316 1.28961448758403 0.873998543335761 0.505227352308539 0.638008169616806 1.30037219133392 2.66058109762885 2.23733003708282 4.01585756016136 0.741002117148906 0.285612281328097 3.46498866362173 0.733695652173913 0.813094354297027 1.54685264663805 0.71656050955414 0.71656050955414 0.575442792018534 0.876156723764521 1.45741409279315
"objpredcocoordroot" 1.32279677031438 1.51253814515059 1.4006734006734 2.02365683340459 1.86961869618696 1.28961448758403 1.35469774217043 0.66029713371017 0.797510212021008 1.35551164821027 2.28208838917956 2.96662546353523 3.36347197106691 0.917431192660551 0.49982149232417 3.5758880162981 1.54891304347826 0.88733340403719 1.08190271816881 0.89171974522293 0.89171974522293 0.88184739556087 1.35853514471353 1.41730177831261
"auxypredroot" 2.43944339460574 3.06487992569988 2.74747474747475 1.71013253527148 2.65682656826568 2.19508848950473 3.14639475600874 3.58661397628933 3.73468196848862 3.10159444929467 1.05755315596126 1.45859085290482 1.64278759215468 4.05786873676782 3.32024277043913 1.66349029014557 1.64402173913043 2.9271396754693 2.61087267525036 3.13694267515924 3.13694267515924 3.19856512966146 2.45126993502658 2.71426661318358
"advpredroot" 2.0615014602302 2.14939631152979 2.15488215488215 1.58187259512612 1.88191881918819 1.82466730690081 2.30152949745084 1.90585763593617 2.36529858004279 2.24233791297156 1.2245352332183 1.40914709517923 1.72416191403533 2.04657727593507 1.1781506604784 1.66759767357802 0.434782608695652 2.48524056987309 2.71816881258941 2.18949044585987 2.18949044585987 2.30177116807414 1.96889151407757 1.48415563578018
"objpredroot" 2.68854148771689 2.89239750563885 2.96296296296296 1.69588143081089 3.64083640836408 2.73014130882151 3.07356154406409 1.97588915011755 2.61038708422486 2.12286908973947 0.8126461093176 0.803461063040791 1.3214633467798 2.01129146083275 1.78507675830061 1.42608352774948 1.44021739130435 1.33983808816771 2.71816881258941 2.86624203821656 2.86624203821656 2.6156490546297 2.40204764717464 1.2301109774034
"sbjpredcocoordroot" 0.884727710015461 0.888947857237628 0.821548821548822 1.42511044605957 0.676506765067651 1.1935793661682 0.728332119446468 0.48021609724376 0.587434351293523 1.07062445434912 1.99265278860069 1.48331273176761 2.55251078035888 0.458715596330275 0.178507675830061 2.24098840074919 0.584239130434783 0.378265634390356 0.786838340486409 0.445859872611465 0.445859872611465 0.448396980793663 0.610356369364048 1.08303249097473
