"","x"
"1","#-auxk-u"
"2","#-auxk-u"
"3","#-pred-v"
"4","#-pred-v"
"5","#-pred-v-auxy-d"
"6","#-pred-v-auxy-d"
"7","#-coord-c-pred_co-v"
"8","#-coord-c-pred_co-v"
"9","#-coord-c"
"10","#-coord-c"
"11","#-coord-c-auxy-d"
"12","#-coord-c-auxy-d"
"13","#-pred-v-adv-v"
"14","#-pred-v-adv-v"
"15","#-pred-v-sbj-n"
"16","#-pred-v-sbj-n"
"17","#-pred-v-obj-n"
"18","#-pred-v-obj-n"
"19","#-pred-v-auxp-r"
"20","#-pred-v-auxp-r"
"21","#-pred-v-adv-d"
"22","#-pred-v-adv-d"
"23","#-coord-c-pred_co-v-obj-n"
"24","#-coord-c-pred_co-v-obj-n"
"25","#-pred-v-coord-c"
"26","#-pred-v-coord-c"
"27","#-coord-c-pred_co-v-auxp-r"
"28","#-coord-c-pred_co-v-auxp-r"
"29","#-coord-c-pred_co-v-adv-v"
"30","#-coord-c-pred_co-v-adv-v"
"31","#-coord-c-pred_co-v-sbj-n"
"32","#-coord-c-pred_co-v-sbj-n"
"33","#-pred-v-obj-p"
"34","#-pred-v-obj-p"
"35","#-pred-v-auxc-c"
"36","#-pred-v-auxc-c"
"37","#-pred-"
"38","#-pred-"
"39","#-pred-v-auxp-r-adv-n"
"40","#-pred-v-auxp-r-adv-n"
"41","#-pred-v-obj-v"
"42","#-pred-v-obj-v"
"43","#-pred-v-obj-n-atr-a"
"44","#-pred-v-obj-n-atr-a"
"45","#-pred-v-sbj-p"
"46","#-pred-v-sbj-p"
"47","#-coord-c-pred_co-v-adv-d"
"48","#-coord-c-pred_co-v-adv-d"
"49","#-pred-v-sbj-n-atr-a"
"50","#-pred-v-sbj-n-atr-a"
"51","#-pred-v-adv-v-obj-n"
"52","#-pred-v-adv-v-obj-n"
"53","#-coord-c-coord-c-pred_co-v"
"54","#-coord-c-coord-c-pred_co-v"
"55","#-pred-v-coord-c-adv_co-v"
"56","#-pred-v-coord-c-adv_co-v"
"57","#-pred-v-auxc-c-adv-v"
"58","#-pred-v-auxc-c-adv-v"
"59","#-pred-v-auxz-d"
"60","#-pred-v-auxz-d"
"61","#-pred-v-sbj-n-atr-l"
"62","#-pred-v-sbj-n-atr-l"
"63","#-pred-v-adv-v-auxp-r"
"64","#-pred-v-adv-v-auxp-r"
"65","#-pred-v-coord-c-auxy-d"
"66","#-pred-v-coord-c-auxy-d"
"67","#-coord-c-pred_co-v-obj-n-atr-a"
"68","#-coord-c-pred_co-v-obj-n-atr-a"
"69","#-coord-c-coord-c"
"70","#-coord-c-coord-c"
"71","#-pred--auxy-d"
"72","#-pred--auxy-d"
"73","#-coord-c-pred_co-v-auxy-d"
"74","#-coord-c-pred_co-v-auxy-d"
"75","#-pred-v-auxp-r-obj-n"
"76","#-pred-v-auxp-r-obj-n"
"77","#-coord-c-pred_co-v-auxp-r-adv-n"
"78","#-coord-c-pred_co-v-auxp-r-adv-n"
"79","#-pred-v-coord-c-obj_co-n"
"80","#-pred-v-coord-c-obj_co-n"
"81","#-pred-v-coord-c-sbj_co-n"
"82","#-pred-v-coord-c-sbj_co-n"
"83","#-pred-v-adv-n"
"84","#-pred-v-adv-n"
"85","#-coord-c-pred_co-v-coord-c"
"86","#-coord-c-pred_co-v-coord-c"
"87","#-pred-v-sbj-n-atr-n"
"88","#-pred-v-sbj-n-atr-n"
"89","#-coord-c-pred_co-v-obj-p"
"90","#-coord-c-pred_co-v-obj-p"
"91","#-pred-v-obj-n-atr-l"
"92","#-pred-v-obj-n-atr-l"
"93","#-coord-c-pred_co-v-obj-v"
"94","#-coord-c-pred_co-v-obj-v"
"95","#-coord-c-pred_co-v-auxz-d"
"96","#-coord-c-pred_co-v-auxz-d"
"97","#-coord-c-pred_co-v-auxp-r-obj-n"
"98","#-coord-c-pred_co-v-auxp-r-obj-n"
"99","#-coord-c-pred_co-v-obj-n-atr-l"
"100","#-coord-c-pred_co-v-obj-n-atr-l"
"101","#-pred-v-obj-a"
"102","#-pred-v-obj-a"
"103","#-coord-c-pred_co-v-sbj-n-atr-a"
"104","#-coord-c-pred_co-v-sbj-n-atr-a"
"105","#-pred-v-adv-v-adv-d"
"106","#-pred-v-adv-v-adv-d"
"107","#-coord-c-pred_co-"
"108","#-coord-c-pred_co-"
"109","#-pred-v-apos-u"
"110","#-pred-v-apos-u"
"111","#-coord-c-pred_co-v-sbj-p"
"112","#-coord-c-pred_co-v-sbj-p"
"113","#-pred-v-coord-c-obj_co-v"
"114","#-pred-v-coord-c-obj_co-v"
"115","#-pred-v-obj-n-atr-n"
"116","#-pred-v-obj-n-atr-n"
"117","#-pred-v-adv-v-obj-n-atr-a"
"118","#-pred-v-adv-v-obj-n-atr-a"
"119","#-pred-v-pnom-a"
"120","#-pred-v-pnom-a"
"121","#-pred-v-exd-n"
"122","#-pred-v-exd-n"
"123","#-pred-v-sbj-a"
"124","#-pred-v-sbj-a"
"125","#-coord-c-sbj-n"
"126","#-coord-c-sbj-n"
"127","#-coord-c-pred_co-v-adv-v-obj-n"
"128","#-coord-c-pred_co-v-adv-v-obj-n"
"129","#-pred-v-auxp-r-adv-n-atr-a"
"130","#-pred-v-auxp-r-adv-n-atr-a"
"131","#-pred-v-sbj-v"
"132","#-pred-v-sbj-v"
"133","#-pred-v-adv-v-auxp-r-adv-n"
"134","#-pred-v-adv-v-auxp-r-adv-n"
"135","#-coord-c-pred_co-v-adv-n"
"136","#-coord-c-pred_co-v-adv-n"
"137","#-coord-c-pred_co-v-coord-c-obj_co-n"
"138","#-coord-c-pred_co-v-coord-c-obj_co-n"
"139","#-pred-v-obj-v-obj-n"
"140","#-pred-v-obj-v-obj-n"
"141","#-pred-v-adv-a"
"142","#-pred-v-adv-a"
"143","#-coord-c-pred_co-v-sbj-n-atr-l"
"144","#-coord-c-pred_co-v-sbj-n-atr-l"
"145","#-coord-c-coord-c-pred_co-v-obj-n"
"146","#-coord-c-coord-c-pred_co-v-obj-n"
"147","#-pred-v-apos-u-sbj_ap-n"
"148","#-pred-v-apos-u-sbj_ap-n"
"149","#-pred-v-adv-v-coord-c-obj_co-n"
"150","#-pred-v-adv-v-coord-c-obj_co-n"
"151","#-coord-c-pred_co-v-adv-v-auxp-r"
"152","#-coord-c-pred_co-v-adv-v-auxp-r"
"153","#-pred-v-auxp-r-adv-n-atr-l"
"154","#-pred-v-auxp-r-adv-n-atr-l"
"155","#-coord-c-pred_co-v-auxc-c"
"156","#-coord-c-pred_co-v-auxc-c"
"157","#-pred-v-obj-n-atr-v"
"158","#-pred-v-obj-n-atr-v"
"159","#-pred-v-coord-c-adv_co-v-obj-n"
"160","#-pred-v-coord-c-adv_co-v-obj-n"
"161","#-pred-v-adv-v-coord-c"
"162","#-pred-v-adv-v-coord-c"
"163","#-coord-c-coord-c-auxy-d"
"164","#-coord-c-coord-c-auxy-d"
"165","#-pred-v-auxc-c-coord-c-adv_co-v"
"166","#-pred-v-auxc-c-coord-c-adv_co-v"
"167","#-coord-c-adv-v"
"168","#-coord-c-adv-v"
"169","#-pred-v-adv-v-sbj-n"
"170","#-pred-v-adv-v-sbj-n"
"171","#-pred-v-auxp-r-adv-p"
"172","#-pred-v-auxp-r-adv-p"
"173","#-pred--pnom-a"
"174","#-pred--pnom-a"
"175","#-coord-c-pred_co-v-obj-a"
"176","#-coord-c-pred_co-v-obj-a"
"177","#-pred-v-adv-v-adv-n"
"178","#-pred-v-adv-v-adv-n"
"179","#-pred-v-adv-v-obj-v"
"180","#-pred-v-adv-v-obj-v"
"181","#-coord-c-pred_co-v-adv-a"
"182","#-coord-c-pred_co-v-adv-a"
"183","#-pred-v-obj-v-auxp-r"
"184","#-pred-v-obj-v-auxp-r"
"185","#-coord-u-pred_co-v"
"186","#-coord-u-pred_co-v"
"187","#-pred-v-adv-v-obj-n-atr-l"
"188","#-pred-v-adv-v-obj-n-atr-l"
"189","#-coord-c-pred_co-v-coord-c-adv_co-v"
"190","#-coord-c-pred_co-v-coord-c-adv_co-v"
"191","#-pred-v-auxg-u"
"192","#-pred-v-auxg-u"
"193","#-pred-v-apos-u-coord-c-sbj_ap_co-n"
"194","#-pred-v-apos-u-coord-c-sbj_ap_co-n"
"195","#-pred-v-apos-u-coord-c-auxy-d"
"196","#-pred-v-apos-u-coord-c-auxy-d"
"197","#-pred-v-coord-c-adv_co-v-auxp-r"
"198","#-pred-v-coord-c-adv_co-v-auxp-r"
"199","#-auxk--"
"200","#-auxk--"
"201","#-coord-c-coord-c-pred_co-v-auxp-r"
"202","#-coord-c-coord-c-pred_co-v-auxp-r"
"203","#-coord-c-pred_co-v-auxz-r"
"204","#-coord-c-pred_co-v-auxz-r"
"205","#-pred--sbj-n"
"206","#-pred--sbj-n"
"207","#-pred-v-sbj-n-atr-v"
"208","#-pred-v-sbj-n-atr-v"
"209","#-pred-v-adv-p"
"210","#-pred-v-adv-p"
"211","#-pred-v-auxc-c-adv-v-obj-n"
"212","#-pred-v-auxc-c-adv-v-obj-n"
"213","#-coord-c-pred_co-v-coord-c-auxy-d"
"214","#-coord-c-pred_co-v-coord-c-auxy-d"
"215","#-pred-v-coord-c-obj_co-n-atr-a"
"216","#-pred-v-coord-c-obj_co-n-atr-a"
"217","#-coord-c-pred_co-v-obj-n-atr-n"
"218","#-coord-c-pred_co-v-obj-n-atr-n"
"219","#-coord-c-sbj-n-atr-l"
"220","#-coord-c-sbj-n-atr-l"
"221","#-pred-v-auxy-c"
"222","#-pred-v-auxy-c"
"223","#-pred-v-auxc-c-adv-v-sbj-n"
"224","#-pred-v-auxc-c-adv-v-sbj-n"
"225","#-coord-c-pred_co-v-auxc-c-adv-v"
"226","#-coord-c-pred_co-v-auxc-c-adv-v"
"227","#-coord-c-pred_co-v-sbj-n-atr-n"
"228","#-coord-c-pred_co-v-sbj-n-atr-n"
"229","#-pred-v-adv-v-auxp-r-obj-n"
"230","#-pred-v-adv-v-auxp-r-obj-n"
"231","#-pred-v-apos-u-obj_ap-n"
"232","#-pred-v-apos-u-obj_ap-n"
"233","#-pred-v-adv-n-atr-a"
"234","#-pred-v-adv-n-atr-a"
"235","#-coord-c-coord-c-adv_co-v"
"236","#-coord-c-coord-c-adv_co-v"
"237","#-coord-c-pred_co-v-coord-c-sbj_co-n"
"238","#-coord-c-pred_co-v-coord-c-sbj_co-n"
"239","#-pred-v-apos-"
"240","#-pred-v-apos-"
"241","#-pred-v-adv-v-obj-p"
"242","#-pred-v-adv-v-obj-p"
"243","#-coord-c-pred_co-v-pnom-a"
"244","#-coord-c-pred_co-v-pnom-a"
"245","#-pred-v-coord-c-sbj_co-n-atr-a"
"246","#-pred-v-coord-c-sbj_co-n-atr-a"
"247","#-pred-v-auxp-r-obj-n-atr-a"
"248","#-pred-v-auxp-r-obj-n-atr-a"
"249","#-coord-c-pred_co-v-auxp-r-adv-n-atr-l"
"250","#-coord-c-pred_co-v-auxp-r-adv-n-atr-l"
"251","#-pred-v-pnom-n"
"252","#-pred-v-pnom-n"
"253","#-coord-c-coord-c-pred_co-v-adv-v"
"254","#-coord-c-coord-c-pred_co-v-adv-v"
"255","#-coord-c-auxc-c"
"256","#-coord-c-auxc-c"
"257","#-pred-v-auxp-r-coord-c-adv_co-n"
"258","#-pred-v-auxp-r-coord-c-adv_co-n"
"259","#-pred-v-auxp-r-adv-n-atr-n"
"260","#-pred-v-auxp-r-adv-n-atr-n"
"261","#-pred-v-auxc-c-coord-c"
"262","#-pred-v-auxc-c-coord-c"
"263","#-pred-v-auxp-r-adv-a"
"264","#-pred-v-auxp-r-adv-a"
"265","#-coord-c-pred_co--sbj-n"
"266","#-coord-c-pred_co--sbj-n"
"267","#-coord-c-pred_co-v-sbj-a"
"268","#-coord-c-pred_co-v-sbj-a"
"269","#-pred-v-atvv-a"
"270","#-pred-v-atvv-a"
"271","#-pred-v-adv-v-obj-n-atr-n"
"272","#-pred-v-adv-v-obj-n-atr-n"
"273","#-pred-v-auxc-c-adv-v-auxp-r"
"274","#-pred-v-auxc-c-adv-v-auxp-r"
"275","#-pred-v-apos--sbj_ap-n"
"276","#-pred-v-apos--sbj_ap-n"
"277","#-pred--coord-c"
"278","#-pred--coord-c"
"279","#-coord-c-pred_co-v-auxp-r-adv-n-atr-a"
"280","#-coord-c-pred_co-v-auxp-r-adv-n-atr-a"
"281","#-pred--auxc-c"
"282","#-pred--auxc-c"
"283","#-pred-v-obj-n-atr-p"
"284","#-pred-v-obj-n-atr-p"
"285","#-pred-v-apos-u-sbj_ap-n-atr-a"
"286","#-pred-v-apos-u-sbj_ap-n-atr-a"
"287","#-pred-v-obj-v-sbj-n"
"288","#-pred-v-obj-v-sbj-n"
"289","#-pred-v-auxz-r"
"290","#-pred-v-auxz-r"
"291","#-coord-u"
"292","#-coord-u"
"293","#-coord-c-coord-c-pred_co-v-adv-d"
"294","#-coord-c-coord-c-pred_co-v-adv-d"
"295","#-pred-v-coord-c-sbj_co-v"
"296","#-pred-v-coord-c-sbj_co-v"
"297","#-pred-v-coord-c-adv_co-v-obj-n-atr-l"
"298","#-pred-v-coord-c-adv_co-v-obj-n-atr-l"
"299","#-pred-v-coord-c-obj_co-v-obj-n"
"300","#-pred-v-coord-c-obj_co-v-obj-n"
"301","#-pred-v-obj-v-obj-p"
"302","#-pred-v-obj-v-obj-p"
"303","#-pred-v-coord-c-coord-c"
"304","#-pred-v-coord-c-coord-c"
"305","#-coord-c-coord-c-pred_co-v-sbj-n"
"306","#-coord-c-coord-c-pred_co-v-sbj-n"
"307","#-coord-c-auxy-c"
"308","#-coord-c-auxy-c"
"309","#-pred-v-auxp-r-obj-n-atr-l"
"310","#-pred-v-auxp-r-obj-n-atr-l"
"311","#-pred-v-sbj-n-atr-p"
"312","#-pred-v-sbj-n-atr-p"
"313","#-coord-c-sbj-p"
"314","#-coord-c-sbj-p"
"315","#-coord-c-pred_co-v-adv-v-adv-d"
"316","#-coord-c-pred_co-v-adv-v-adv-d"
"317","#-pred-v-adv-v-auxz-d"
"318","#-pred-v-adv-v-auxz-d"
"319","#-pred-v-adv-v-coord-c-auxy-d"
"320","#-pred-v-adv-v-coord-c-auxy-d"
"321","#-pred-v-apos-u-coord-c-obj_ap_co-n"
"322","#-pred-v-apos-u-coord-c-obj_ap_co-n"
"323","#-pred--obj-v"
"324","#-pred--obj-v"
"325","#-coord-c-auxc-c-adv-v"
"326","#-coord-c-auxc-c-adv-v"
"327","#-pred-v-adv-v-auxp-r-adv-n-atr-l"
"328","#-pred-v-adv-v-auxp-r-adv-n-atr-l"
"329","#-pred-v-sbj-n-atv-a"
"330","#-pred-v-sbj-n-atv-a"
"331","#-pred-v-coord-c-auxp-r"
"332","#-pred-v-coord-c-auxp-r"
"333","#-coord-c-coord-c-pred_co-v-auxz-d"
"334","#-coord-c-coord-c-pred_co-v-auxz-d"
"335","#-pred-v-auxc-c-adv-v-auxy-d"
"336","#-pred-v-auxc-c-adv-v-auxy-d"
"337","#-pred-v-adv-d-auxz-d"
"338","#-pred-v-adv-d-auxz-d"
"339","#-pred-v-obj-v-adv-v"
"340","#-pred-v-obj-v-adv-v"
"341","#-pred-v-auxc-c-adv-v-adv-v"
"342","#-pred-v-auxc-c-adv-v-adv-v"
"343","#-pred-v-obj-v-adv-d"
"344","#-pred-v-obj-v-adv-d"
"345","#-coord-c-pred_co-v-obj-n-atr-v"
"346","#-coord-c-pred_co-v-obj-n-atr-v"
"347","#-coord-c-pred_co-v-adv-v-obj-n-atr-l"
"348","#-coord-c-pred_co-v-adv-v-obj-n-atr-l"
"349","#-coord-c-pred_co-v-auxp-r-obj-n-atr-a"
"350","#-coord-c-pred_co-v-auxp-r-obj-n-atr-a"
"351","#-coord-c-pred_co--pnom-a"
"352","#-coord-c-pred_co--pnom-a"
"353","#-pred--adv-v"
"354","#-pred--adv-v"
"355","#-coord-c-pred_co-v-adv-n-atr-a"
"356","#-coord-c-pred_co-v-adv-n-atr-a"
"357","#-pred-v-adv-v-sbj-n-atr-l"
"358","#-pred-v-adv-v-sbj-n-atr-l"
"359","#-pred-v-coord-c-adv_co-v-adv-d"
"360","#-pred-v-coord-c-adv_co-v-adv-d"
"361","#-pred-v-auxc-c-adv-v-auxz-d"
"362","#-pred-v-auxc-c-adv-v-auxz-d"
"363","#-pred-v-apos-u-obj_ap-n-atr-a"
"364","#-pred-v-apos-u-obj_ap-n-atr-a"
"365","#-pred-v-apos--obj_ap-n"
"366","#-pred-v-apos--obj_ap-n"
"367","#-coord-c-pred_co-v-adv-v-auxp-r-adv-n"
"368","#-coord-c-pred_co-v-adv-v-auxp-r-adv-n"
"369","#-pred-v-adv-v-adv-a"
"370","#-pred-v-adv-v-adv-a"
"371","#-pred-v-auxc-c-adv-v-obj-p"
"372","#-pred-v-auxc-c-adv-v-obj-p"
"373","#-pred-v-apos-u-coord-c"
"374","#-pred-v-apos-u-coord-c"
"375","#-coord-c-pred_co-v-obj-v-obj-n"
"376","#-coord-c-pred_co-v-obj-v-obj-n"
"377","#-pred-v-sbj-p-auxz-d"
"378","#-pred-v-sbj-p-auxz-d"
"379","#-pred-v-obj-v-sbj-p"
"380","#-pred-v-obj-v-sbj-p"
"381","#-coord-c-coord-c-pred_co-v-auxp-r-adv-n"
"382","#-coord-c-coord-c-pred_co-v-auxp-r-adv-n"
"383","#-pred-v-auxy-d-auxz-d"
"384","#-pred-v-auxy-d-auxz-d"
"385","#-pred-v-auxp-r-coord-c"
"386","#-pred-v-auxp-r-coord-c"
"387","#-coord-c-pred_co-v-auxp-r-obj-n-atr-l"
"388","#-coord-c-pred_co-v-auxp-r-obj-n-atr-l"
"389","#-pred-v-sbj-l"
"390","#-pred-v-sbj-l"
"391","#-pred--adv-d"
"392","#-pred--adv-d"
"393","#-pred-v-obj-v-coord-c"
"394","#-pred-v-obj-v-coord-c"
"395","#-pred-v-adv-v-coord-c-obj_co-v"
"396","#-pred-v-adv-v-coord-c-obj_co-v"
"397","#-coord-c-adv-d"
"398","#-coord-c-adv-d"
"399","#-pred-v-adv-v-obj-a"
"400","#-pred-v-adv-v-obj-a"
"401","#-pred--auxc-c-adv-v"
"402","#-pred--auxc-c-adv-v"
"403","#-pred-v-coord-c-adv_co-v-obj-v"
"404","#-pred-v-coord-c-adv_co-v-obj-v"
"405","#-pred-v-sbj-v-obj-n"
"406","#-pred-v-sbj-v-obj-n"
"407","#-coord-c-pred_co-v-adv-v-obj-n-atr-a"
"408","#-coord-c-pred_co-v-adv-v-obj-n-atr-a"
"409","#-pred-v-obj-v-obj-n-atr-l"
"410","#-pred-v-obj-v-obj-n-atr-l"
"411","#-coord-c-pred_co-v-coord-c-obj_co-v"
"412","#-coord-c-pred_co-v-coord-c-obj_co-v"
"413","#-pred-v-coord-c-adv_co-v-auxp-r-adv-n"
"414","#-pred-v-coord-c-adv_co-v-auxp-r-adv-n"
"415","#-pred-v-obj-v-obj-n-atr-a"
"416","#-pred-v-obj-v-obj-n-atr-a"
"417","#-pred-v-obj-v-auxp-r-adv-n"
"418","#-pred-v-obj-v-auxp-r-adv-n"
"419","#-coord-c-coord-c-pred_co-v-obj-n-atr-a"
"420","#-coord-c-coord-c-pred_co-v-obj-n-atr-a"
"421","#-pred-v-sbj-n-coord-c"
"422","#-pred-v-sbj-n-coord-c"
"423","#-pred-v-exd-a"
"424","#-pred-v-exd-a"
"425","#-pred-v-coord-c-adv_co-n"
"426","#-pred-v-coord-c-adv_co-n"
"427","#-coord-c-pred_co-v-pnom-n"
"428","#-coord-c-pred_co-v-pnom-n"
"429","#-coord-c-pred_co-v-sbj-v"
"430","#-coord-c-pred_co-v-sbj-v"
"431","#-coord-c-pred_co-v-obj-v-auxp-r"
"432","#-coord-c-pred_co-v-obj-v-auxp-r"
"433","#-coord-c-pred_co-v-adv-p"
"434","#-coord-c-pred_co-v-adv-p"
"435","#-pred-v-coord-c-obj_co-v-auxp-r"
"436","#-pred-v-coord-c-obj_co-v-auxp-r"
"437","#-pred-v-obj-n-atr-n-coord-c-apos-u-coord-c-sbj_ap_co-n"
"438","#-pred-v-obj-n-atr-n-coord-c-apos-u-coord-c-sbj_ap_co-n"
"439","#-coord-c-pred_co-v-adv-v-auxp-r-obj-n"
"440","#-coord-c-pred_co-v-adv-v-auxp-r-obj-n"
"441","#-pred-v-coord-c-obj_co-n-atr-n"
"442","#-pred-v-coord-c-obj_co-n-atr-n"
"443","#-pred-v-exd-n-atr-a"
