"","V1","V2","V3","V4"
"1",2,1487,0.619583333333333,0.380416666666667
"2",4,1275,0.53125,0.46875
"3",6,1259,0.524583333333333,0.475416666666667
"4",8,955,0.397916666666667,0.602083333333333
"5",10,872,0.363333333333333,0.636666666666667
"6",12,814,0.339166666666667,0.660833333333333
"7",14,746,0.310833333333333,0.689166666666667
"8",16,702,0.2925,0.7075
"9",18,689,0.287083333333333,0.712916666666667
"10",20,682,0.284166666666667,0.715833333333333
"11",22,681,0.28375,0.71625
"12",24,662,0.275833333333333,0.724166666666667
"13",26,673,0.280416666666667,0.719583333333333
"14",28,717,0.29875,0.70125
"15",30,691,0.287916666666667,0.712083333333333
"16",32,624,0.26,0.74
"17",34,632,0.263333333333333,0.736666666666667
"18",36,586,0.244166666666667,0.755833333333333
"19",38,547,0.227916666666667,0.772083333333333
"20",40,531,0.22125,0.77875
"21",42,559,0.232916666666667,0.767083333333333
"22",44,530,0.220833333333333,0.779166666666667
"23",46,524,0.218333333333333,0.781666666666667
"24",48,543,0.22625,0.77375
"25",50,547,0.227916666666667,0.772083333333333
"26",52,557,0.232083333333333,0.767916666666667
"27",54,428,0.178333333333333,0.821666666666667
"28",56,451,0.187916666666667,0.812083333333333
"29",58,480,0.2,0.8
"30",60,414,0.1725,0.8275
"31",62,441,0.18375,0.81625
"32",64,429,0.17875,0.82125
"33",66,421,0.175416666666667,0.824583333333333
"34",68,421,0.175416666666667,0.824583333333333
"35",70,383,0.159583333333333,0.840416666666667
"36",72,420,0.175,0.825
"37",74,408,0.17,0.83
"38",76,447,0.18625,0.81375
"39",78,439,0.182916666666667,0.817083333333333
"40",80,460,0.191666666666667,0.808333333333333
"41",82,430,0.179166666666667,0.820833333333333
"42",84,433,0.180416666666667,0.819583333333333
"43",86,415,0.172916666666667,0.827083333333333
"44",88,415,0.172916666666667,0.827083333333333
"45",90,453,0.18875,0.81125
"46",92,455,0.189583333333333,0.810416666666667
"47",94,450,0.1875,0.8125
"48",96,508,0.211666666666667,0.788333333333333
"49",98,440,0.183333333333333,0.816666666666667
