"","V1","V2","V3","V4"
"1",2,1747,0.727916666666667,0.272083333333333
"2",4,1748,0.728333333333333,0.271666666666667
"3",6,1608,0.67,0.33
"4",8,1182,0.4925,0.5075
"5",10,1145,0.477083333333333,0.522916666666667
"6",12,1047,0.43625,0.56375
"7",14,988,0.411666666666667,0.588333333333333
"8",16,981,0.40875,0.59125
"9",18,967,0.402916666666667,0.597083333333333
"10",20,881,0.367083333333333,0.632916666666667
"11",22,846,0.3525,0.6475
"12",24,837,0.34875,0.65125
"13",26,801,0.33375,0.66625
"14",28,895,0.372916666666667,0.627083333333333
"15",30,845,0.352083333333333,0.647916666666667
"16",32,880,0.366666666666667,0.633333333333333
"17",34,859,0.357916666666667,0.642083333333333
"18",36,783,0.32625,0.67375
"19",38,765,0.31875,0.68125
"20",40,751,0.312916666666667,0.687083333333333
"21",42,758,0.315833333333333,0.684166666666667
"22",44,681,0.28375,0.71625
"23",46,683,0.284583333333333,0.715416666666667
"24",48,737,0.307083333333333,0.692916666666667
"25",50,739,0.307916666666667,0.692083333333333
"26",52,684,0.285,0.715
"27",54,580,0.241666666666667,0.758333333333333
"28",56,598,0.249166666666667,0.750833333333333
"29",58,609,0.25375,0.74625
"30",60,586,0.244166666666667,0.755833333333333
"31",62,570,0.2375,0.7625
"32",64,622,0.259166666666667,0.740833333333333
"33",66,563,0.234583333333333,0.765416666666667
"34",68,596,0.248333333333333,0.751666666666667
"35",70,533,0.222083333333333,0.777916666666667
"36",72,601,0.250416666666667,0.749583333333333
"37",74,582,0.2425,0.7575
"38",76,592,0.246666666666667,0.753333333333333
"39",78,579,0.24125,0.75875
"40",80,570,0.2375,0.7625
"41",82,603,0.25125,0.74875
"42",84,485,0.202083333333333,0.797916666666667
"43",86,550,0.229166666666667,0.770833333333333
"44",88,463,0.192916666666667,0.807083333333333
"45",90,549,0.22875,0.77125
"46",92,514,0.214166666666667,0.785833333333333
"47",94,503,0.209583333333333,0.790416666666667
"48",96,508,0.211666666666667,0.788333333333333
"49",98,491,0.204583333333333,0.795416666666667
"50",100,496,0.206666666666667,0.793333333333333
"51",102,509,0.212083333333333,0.787916666666667
"52",104,459,0.19125,0.80875
"53",106,517,0.215416666666667,0.784583333333333
"54",108,497,0.207083333333333,0.792916666666667
"55",110,514,0.214166666666667,0.785833333333333
"56",112,506,0.210833333333333,0.789166666666667
"57",114,498,0.2075,0.7925
"58",116,501,0.20875,0.79125
"59",118,487,0.202916666666667,0.797083333333333
"60",120,478,0.199166666666667,0.800833333333333
"61",122,506,0.210833333333333,0.789166666666667
"62",124,501,0.20875,0.79125
"63",126,474,0.1975,0.8025
"64",128,423,0.17625,0.82375
"65",130,428,0.178333333333333,0.821666666666667
"66",132,397,0.165416666666667,0.834583333333333
"67",134,412,0.171666666666667,0.828333333333333
"68",136,414,0.1725,0.8275
"69",138,372,0.155,0.845
"70",140,399,0.16625,0.83375
"71",142,391,0.162916666666667,0.837083333333333
"72",144,397,0.165416666666667,0.834583333333333
"73",146,391,0.162916666666667,0.837083333333333
"74",148,411,0.17125,0.82875
"75",150,395,0.164583333333333,0.835416666666667
"76",152,393,0.16375,0.83625
"77",154,401,0.167083333333333,0.832916666666667
"78",156,409,0.170416666666667,0.829583333333333
"79",158,428,0.178333333333333,0.821666666666667
"80",160,395,0.164583333333333,0.835416666666667
"81",162,395,0.164583333333333,0.835416666666667
"82",164,375,0.15625,0.84375
"83",166,346,0.144166666666667,0.855833333333333
"84",168,369,0.15375,0.84625
"85",170,378,0.1575,0.8425
"86",172,341,0.142083333333333,0.857916666666667
"87",174,351,0.14625,0.85375
"88",176,320,0.133333333333333,0.866666666666667
"89",178,334,0.139166666666667,0.860833333333333
"90",180,341,0.142083333333333,0.857916666666667
"91",182,344,0.143333333333333,0.856666666666667
"92",184,365,0.152083333333333,0.847916666666667
"93",186,335,0.139583333333333,0.860416666666667
"94",188,389,0.162083333333333,0.837916666666667
"95",190,348,0.145,0.855
"96",192,333,0.13875,0.86125
"97",194,366,0.1525,0.8475
"98",196,329,0.137083333333333,0.862916666666667
"99",198,357,0.14875,0.85125
"100",200,340,0.141666666666667,0.858333333333333
"101",202,323,0.134583333333333,0.865416666666667
"102",204,325,0.135416666666667,0.864583333333333
"103",206,296,0.123333333333333,0.876666666666667
"104",208,360,0.15,0.85
"105",210,327,0.13625,0.86375
"106",212,382,0.159166666666667,0.840833333333333
"107",214,380,0.158333333333333,0.841666666666667
"108",216,354,0.1475,0.8525
"109",218,369,0.15375,0.84625
"110",220,333,0.13875,0.86125
"111",222,336,0.14,0.86
"112",224,335,0.139583333333333,0.860416666666667
"113",226,357,0.14875,0.85125
"114",228,382,0.159166666666667,0.840833333333333
"115",230,381,0.15875,0.84125
"116",232,394,0.164166666666667,0.835833333333333
"117",234,405,0.16875,0.83125
"118",236,382,0.159166666666667,0.840833333333333
"119",238,403,0.167916666666667,0.832083333333333
"120",240,360,0.15,0.85
"121",242,356,0.148333333333333,0.851666666666667
"122",244,354,0.1475,0.8525
"123",246,358,0.149166666666667,0.850833333333333
"124",248,342,0.1425,0.8575
"125",250,374,0.155833333333333,0.844166666666667
"126",252,366,0.1525,0.8475
"127",254,340,0.141666666666667,0.858333333333333
"128",256,332,0.138333333333333,0.861666666666667
"129",258,362,0.150833333333333,0.849166666666667
"130",260,358,0.149166666666667,0.850833333333333
"131",262,356,0.148333333333333,0.851666666666667
"132",264,379,0.157916666666667,0.842083333333333
"133",266,355,0.147916666666667,0.852083333333333
"134",268,348,0.145,0.855
"135",270,382,0.159166666666667,0.840833333333333
"136",272,351,0.14625,0.85375
"137",274,366,0.1525,0.8475
"138",276,374,0.155833333333333,0.844166666666667
