,,10/21/2015
Athenaeus,Book 12,20296
Athenaeus,Book 13,25289
Diodorus,Book 11,25692
Herodotus,Book 1,33102
Lysias,Oration 1,2834
Lysias,Oration 12,5638
Lysias,Oration 14,2801
Lysias,Oration 15,688
Lysias,Oration 23,896
Plutarch,Alcibiades,11439
Plutarch,Lycurgus,10709
Polybius,Book 1,28271
Polybius,Book 10,15047
Polybius,Book 9,11631
Thucydides,Book 1,25360
,,
,,219693
