"","x"
"400","z-score"
"401","frequency"
"402","z-score"
"403","frequency"
"404","z-score"
"405","frequency"
"406","z-score"
"407","frequency"
"408","z-score"
"409","frequency"
"410","z-score"
"411","frequency"
"412","z-score"
"413","frequency"
"414","z-score"
"415","frequency"
"416","z-score"
"417","frequency"
"418","z-score"
"419","frequency"
"420","z-score"
"421","frequency"
"422","z-score"
"423","frequency"
"424","z-score"
"425","frequency"
"426","z-score"
"427","frequency"
"428","z-score"
"429","frequency"
"430","z-score"
"431","frequency"
"432","z-score"
"433","frequency"
"434","z-score"
"435","frequency"
"436","z-score"
"437","frequency"
"438","z-score"
"439","frequency"
"440","z-score"
"441","frequency"
"442","z-score"
"443","frequency"
"444","z-score"
"445","frequency"
"446","z-score"
"447","frequency"
"448","z-score"
"449","frequency"
"450","z-score"
"451","frequency"
"452","z-score"
"453","frequency"
"454","z-score"
"455","frequency"
"456","z-score"
"457","frequency"
"458","z-score"
"459","frequency"
"460","z-score"
"461","frequency"
"462","z-score"
"463","frequency"
"464","z-score"
"465","frequency"
"466","z-score"
"467","frequency"
"468","z-score"
"469","frequency"
"470","z-score"
"471","frequency"
"472","z-score"
"473","frequency"
"474","z-score"
"475","frequency"
"476","z-score"
"477","frequency"
"478","z-score"
"479","frequency"
"480","z-score"
"481","frequency"
"482","z-score"
"483","frequency"
"484","z-score"
"485","frequency"
"486","z-score"
"487","frequency"
"488","z-score"
"489","frequency"
"490","z-score"
"491","frequency"
"492","z-score"
"493","frequency"
"494","z-score"
"495","frequency"
"496","z-score"
"497","frequency"
"498","z-score"
"499","frequency"
"500","z-score"
"501","frequency"
"502","z-score"
"503","frequency"
"504","z-score"
"505","frequency"
"506","z-score"
"507","frequency"
"508","z-score"
"509","frequency"
"510","z-score"
"511","frequency"
"512","z-score"
"513","frequency"
"514","z-score"
"515","frequency"
"516","z-score"
"517","frequency"
"518","z-score"
"519","frequency"
"520","z-score"
"521","frequency"
"522","z-score"
"523","frequency"
"524","z-score"
"525","frequency"
"526","z-score"
"527","frequency"
"528","z-score"
"529","frequency"
"530","z-score"
"531","frequency"
"532","z-score"
"533","frequency"
"534","z-score"
"535","frequency"
"536","z-score"
"537","frequency"
"538","z-score"
"539","frequency"
"540","z-score"
"541","frequency"
"542","z-score"
"543","frequency"
"544","z-score"
"545","frequency"
"546","z-score"
"547","frequency"
"548","z-score"
"549","frequency"
"550","z-score"
"551","frequency"
"552","z-score"
"553","frequency"
"554","z-score"
"555","frequency"
"556","z-score"
"557","frequency"
"558","z-score"
"559","frequency"
"560","z-score"
"561","frequency"
"562","z-score"
"563","frequency"
"564","z-score"
"565","frequency"
"566","z-score"
"567","frequency"
"568","z-score"
"569","frequency"
"570","z-score"
"571","frequency"
"572","z-score"
"573","frequency"
"574","z-score"
"575","frequency"
"576","z-score"
"577","frequency"
"578","z-score"
"579","frequency"
"580","z-score"
"581","frequency"
"582","z-score"
"583","frequency"
"584","z-score"
"585","frequency"
"586","z-score"
"587","frequency"
"588","z-score"
"589","frequency"
"590","z-score"
"591","frequency"
"592","z-score"
"593","frequency"
"594","z-score"
"595","frequency"
"596","z-score"
"597","frequency"
"598","z-score"
"599","frequency"
"600","z-score"
"601","frequency"
"602","z-score"
"603","frequency"
"604","z-score"
"605","frequency"
"606","z-score"
"607","frequency"
"608","z-score"
"609","frequency"
"610","z-score"
"611","frequency"
"612","z-score"
"613","frequency"
"614","z-score"
"615","frequency"
"616","z-score"
"617","frequency"
"618","z-score"
"619","frequency"
"620","z-score"
"621","frequency"
"622","z-score"
"623","frequency"
"624","z-score"
"625","frequency"
"626","z-score"
"627","frequency"
"628","z-score"
"629","frequency"
"630","z-score"
"631","frequency"
"632","z-score"
"633","frequency"
"634","z-score"
"635","frequency"
"636","z-score"
"637","frequency"
"638","z-score"
"639","frequency"
"640","z-score"
"641","frequency"
"642","z-score"
"643","frequency"
"644","z-score"
"645","frequency"
"646","z-score"
"647","frequency"
"648","z-score"
"649","frequency"
"650","z-score"
"651","frequency"
"652","z-score"
"653","frequency"
"654","z-score"
"655","frequency"
"656","z-score"
"657","frequency"
"658","z-score"
"659","frequency"
"660","z-score"
"661","frequency"
"662","z-score"
"663","frequency"
"664","z-score"
"665","frequency"
"666","z-score"
"667","frequency"
"668","z-score"
"669","frequency"
"670","z-score"
"671","frequency"
"672","z-score"
"673","frequency"
"674","z-score"
"675","frequency"
"676","z-score"
"677","frequency"
"678","z-score"
"679","frequency"
"680","z-score"
"681","frequency"
"682","z-score"
"683","frequency"
"684","z-score"
"685","frequency"
"686","z-score"
"687","frequency"
"688","z-score"
"689","frequency"
"690","z-score"
"691","frequency"
"692","z-score"
"693","frequency"
"694","z-score"
"695","frequency"
"696","z-score"
"697","frequency"
"698","z-score"
"699","frequency"
"700","z-score"
"701","frequency"
"702","z-score"
"703","frequency"
"704","z-score"
"705","frequency"
"706","z-score"
"707","frequency"
"708","z-score"
"709","frequency"
"710","z-score"
"711","frequency"
"712","z-score"
"713","frequency"
"714","z-score"
"715","frequency"
"716","z-score"
"717","frequency"
"718","z-score"
"719","frequency"
"720","z-score"
"721","frequency"
"722","z-score"
"723","frequency"
"724","z-score"
"725","frequency"
"726","z-score"
"727","frequency"
"728","z-score"
"729","frequency"
"730","z-score"
"731","frequency"
"732","z-score"
"733","frequency"
"734","z-score"
"735","frequency"
"736","z-score"
"737","frequency"
"738","z-score"
"739","frequency"
"740","z-score"
"741","frequency"
"742","z-score"
"743","frequency"
"744","z-score"
"745","frequency"
"746","z-score"
"747","frequency"
"748","z-score"
"749","frequency"
"750","z-score"
"751","frequency"
"752","z-score"
"753","frequency"
"754","z-score"
"755","frequency"
"756","z-score"
"757","frequency"
"758","z-score"
"759","frequency"
"760","z-score"
"761","frequency"
"762","z-score"
"763","frequency"
"764","z-score"
"765","frequency"
"766","z-score"
"767","frequency"
"768","z-score"
"769","frequency"
"770","z-score"
"771","frequency"
"772","z-score"
"773","frequency"
"774","z-score"
"775","frequency"
"776","z-score"
"777","frequency"
"778","z-score"
"779","frequency"
"780","z-score"
"781","frequency"
"782","z-score"
"783","frequency"
"784","z-score"
"785","frequency"
"786","z-score"
"787","frequency"
"788","z-score"
"789","frequency"
"790","z-score"
"791","frequency"
"792","z-score"
"793","frequency"
"794","z-score"
"795","frequency"
"796","z-score"
"797","frequency"
"798","z-score"
"799","frequency"
"800","z-score"
"801","frequency"
"802","z-score"
"803","frequency"
"804","z-score"
"805","frequency"
"806","z-score"
"807","frequency"
"808","z-score"
"809","frequency"
"810","z-score"
"811","frequency"
"812","z-score"
"813","frequency"
"814","z-score"
"815","frequency"
"816","z-score"
"817","frequency"
"818","z-score"
"819","frequency"
"820","z-score"
"821","frequency"
"822","z-score"
"823","frequency"
"824","z-score"
"825","frequency"
"826","z-score"
"827","frequency"
"828","z-score"
"829","frequency"
"830","z-score"
"831","frequency"
"832","z-score"
"833","frequency"
"834","z-score"
"835","frequency"
"836","z-score"
"837","frequency"
"838","z-score"
"839","frequency"
"840","z-score"
"841","frequency"
"842","z-score"
"843","frequency"
"844","z-score"
"845","frequency"
"846","z-score"
"847","frequency"
"848","z-score"
"849","frequency"
"850","z-score"
"851","frequency"
"852","z-score"
"853","frequency"
"854","z-score"
"855","frequency"
"856","z-score"
"857","frequency"
"858","z-score"
"859","frequency"
"860","z-score"
"861","frequency"
"862","z-score"
"863","frequency"
"864","z-score"
"865","frequency"
"866","z-score"
"867","frequency"
"868","z-score"
"869","frequency"
"870","z-score"
"871","frequency"
"872","z-score"
"873","frequency"
"874","z-score"
"875","frequency"
"876","z-score"
"877","frequency"
"878","z-score"
"879","frequency"
"880","z-score"
"881","frequency"
"882","z-score"
"883","frequency"
"884","z-score"
"885","frequency"
"886","z-score"
"887","frequency"
"888","z-score"
"889","frequency"
"890","z-score"
"891","frequency"
"892","z-score"
"893","frequency"
"894","z-score"
"895","frequency"
"896","z-score"
"897","frequency"
"898","z-score"
"899","frequency"
"900","z-score"
"901","frequency"
"902","z-score"
"903","frequency"
"904","z-score"
"905","frequency"
"906","z-score"
"907","frequency"
"908","z-score"
"909","frequency"
"910","z-score"
"911","frequency"
"912","z-score"
"913","frequency"
"914","z-score"
"915","frequency"
"916","z-score"
"917","frequency"
"918","z-score"
"919","frequency"
"920","z-score"
"921","frequency"
"922","z-score"
"923","frequency"
"924","z-score"
"925","frequency"
"926","z-score"
"927","frequency"
"928","z-score"
"929","frequency"
"930","z-score"
"931","frequency"
"932","z-score"
"933","frequency"
"934","z-score"
"935","frequency"
"936","z-score"
"937","frequency"
"938","z-score"
"939","frequency"
"940","z-score"
"941","frequency"
"942","z-score"
"943","frequency"
"944","z-score"
"945","frequency"
"946","z-score"
"947","frequency"
"948","z-score"
"949","frequency"
"950","z-score"
"951","frequency"
"952","z-score"
"953","frequency"
"954","z-score"
"955","frequency"
"956","z-score"
"957","frequency"
"958","z-score"
"959","frequency"
"960","z-score"
"961","frequency"
"962","z-score"
"963","frequency"
"964","z-score"
"965","frequency"
"966","z-score"
"967","frequency"
"968","z-score"
"969","frequency"
"970","z-score"
"971","frequency"
"972","z-score"
"973","frequency"
"974","z-score"
"975","frequency"
"976","z-score"
"977","frequency"
"978","z-score"
"979","frequency"
"980","z-score"
"981","frequency"
"982","z-score"
"983","frequency"
"984","z-score"
"985","frequency"
"986","z-score"
"987","frequency"
"988","z-score"
"989","frequency"
"990","z-score"
"991","frequency"
"992","z-score"
"993","frequency"
"994","z-score"
"995","frequency"
"996","z-score"
"997","frequency"
"998","z-score"
"999","frequency"
"1000","z-score"
"1001","frequency"
"1002","z-score"
"1003","frequency"
"1004","z-score"
"1005","frequency"
"1006","z-score"
"1007","frequency"
"1008","z-score"
"1009","frequency"
"1010","z-score"
"1011","frequency"
"1012","z-score"
"1013","frequency"
"1014","z-score"
"1015","frequency"
"1016","z-score"
"1017","frequency"
"1018","z-score"
"1019","frequency"
"1020","z-score"
"1021","frequency"
"1022","z-score"
"1023","frequency"
"1024","z-score"
"1025","frequency"
"1026","z-score"
"1027","frequency"
"1028","z-score"
"1029","frequency"
"1030","z-score"
"1031","frequency"
"1032","z-score"
"1033","frequency"
"1034","z-score"
"1035","frequency"
"1036","z-score"
"1037","frequency"
"1038","z-score"
"1039","frequency"
"1040","z-score"
"1041","frequency"
"1042","z-score"
"1043","frequency"
"1044","z-score"
"1045","frequency"
"1046","z-score"
"1047","frequency"
"1048","z-score"
"1049","frequency"
"1050","z-score"
"1051","frequency"
"1052","z-score"
"1053","frequency"
"1054","z-score"
"1055","frequency"
"1056","z-score"
"1057","frequency"
"1058","z-score"
"1059","frequency"
"1060","z-score"
"1061","frequency"
"1062","z-score"
