385,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
386,0.985431792,1.61E-40,0,3.79E-37,1.97E-28,0.014564314,0,3.89E-06,6.55E-248,6.19E-216,6.88E-22,8.12E-119
387,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
388,0,0,0,6.77E-152,1.94E-190,2.69E-119,0,0,0,0,1,0
389,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
390,1.44E-103,1.42E-63,4.89E-124,6.28E-22,5.07E-84,3.00E-56,7.24E-105,2.39E-40,2.48E-22,6.98E-63,1.44E-120,1
391,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
392,7.94E-75,1.21E-10,6.92E-65,3.18E-12,3.17E-174,8.81E-89,3.25E-110,3.41E-88,1,4.30E-31,2.40E-43,5.15E-57
393,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
394,2.37E-164,1.90E-92,9.41E-33,3.60E-17,3.37E-105,2.09E-63,0,5.94E-40,1.58E-38,2.40E-54,3.27E-124,1
395,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
396,8.92E-27,4.89E-53,0,7.94E-84,0.003561431,0.996438569,0,2.35E-15,3.11E-140,5.67E-174,3.89E-40,1.42E-97
397,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
398,4.28E-238,9.54E-119,1,5.83E-52,6.63E-84,5.20E-139,0,7.76E-164,1.19E-45,3.24E-25,2.05E-144,3.59E-65
399,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
400,1,4.78E-56,0,4.35E-308,2.10E-68,1.86E-86,2.30E-273,4.74E-67,0,0,1.00E-11,0
401,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
402,8.79E-14,1.85E-64,0,2.45E-265,4.56E-134,4.28E-134,7.69E-291,1.05E-64,0,2.60E-308,1,0
403,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
404,7.37E-126,1.06E-129,2.73E-24,1.27E-20,2.48E-295,1.54E-73,0,2.33E-40,8.08E-125,1.61E-49,3.15E-288,1
405,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
406,1.58E-22,1.05E-44,1.80E-300,1.38E-28,4.87E-05,4.13E-19,0,8.34E-15,7.20E-106,9.47E-140,0.999951337,1.30E-100
407,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
408,2.90E-171,1.92E-39,2.36E-26,1.94E-51,2.68E-125,1.94E-116,5.09E-146,2.92E-243,4.46E-33,1,5.76E-73,6.50E-118
409,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
410,1.77E-47,4.08E-119,0,2.41E-70,4.63E-47,5.70E-12,0,1,0,2.09E-206,0,6.72E-144
411,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
412,0.512705174,1.78E-18,0,2.00E-187,1.10E-65,7.74E-48,1.79E-266,6.95E-39,1.63E-250,5.53E-170,0.487294826,3.20E-244
413,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
414,2.32E-25,1.67E-56,0,7.07E-114,1.37E-73,1.46E-62,7.45E-290,1.37E-41,7.69E-251,8.95E-268,1,2.68E-259
415,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
416,7.96E-57,1,6.31E-114,4.47E-36,7.71E-130,2.20E-210,7.54E-215,1.31E-218,3.46E-45,6.35E-85,3.21E-77,5.51E-186
417,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
418,0.999499235,1.01E-38,0,9.49E-95,0.000500593,8.94E-16,9.40E-215,4.59E-14,7.00E-296,4.21E-249,1.72E-07,3.16E-266
419,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
420,1,3.75E-49,0,1.08E-57,2.28E-21,3.59E-19,0,3.74E-21,2.65E-194,2.60E-221,1.51E-36,8.22E-138
421,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
422,5.60E-42,6.19E-73,0,2.08E-60,1.40E-39,1,0,5.20E-11,2.11E-252,1.07E-215,6.79E-52,3.77E-112
423,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
424,2.73E-58,1,4.92E-306,6.16E-44,2.00E-69,2.28E-66,4.38E-203,2.00E-73,1.10E-68,2.32E-101,1.51E-54,9.07E-141
425,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
426,1.62E-10,0.219081365,6.62E-185,0.000285491,1.58E-41,2.36E-20,1.30E-35,1.88E-09,4.13E-33,3.78E-42,0.780633143,2.35E-29
427,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
428,9.35E-15,1.57E-06,2.20E-84,1.67E-08,8.16E-69,5.16E-54,2.47E-76,1.41E-26,8.60E-91,1.65E-29,0.999998409,9.22E-111
429,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
430,0.997285904,7.97E-43,0,2.11E-132,3.59E-62,1.09E-51,0,7.74E-38,1.79E-234,3.67E-262,0.002714096,0
431,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
432,1,4.52E-64,0,1.82E-248,1.90E-81,3.75E-89,0,9.09E-57,0,0,4.04E-18,0
433,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
434,0.999083108,2.51E-38,0,2.28E-153,2.49E-75,7.08E-79,0,1.35E-59,6.79E-257,1.11E-232,0.000916892,0
435,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
436,1.71E-11,1.63E-10,2.79E-170,1.64E-156,3.02E-107,9.89E-71,9.00E-79,1.82E-32,7.53E-214,3.93E-45,1,5.60E-129
437,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
438,4.00E-220,8.11E-88,2.70E-91,5.78E-20,6.99E-142,4.69E-55,0,7.26E-43,2.38E-83,5.62E-62,3.19E-153,1
439,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
440,2.84E-05,2.36E-07,9.09E-110,2.46E-94,3.83E-59,5.26E-51,1.53E-125,5.10E-25,7.11E-124,1.45E-29,0.999971385,7.52E-298
441,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
442,4.77E-79,1,1.00E-270,8.05E-72,1.03E-100,6.26E-95,1.63E-180,7.88E-93,1.79E-90,4.00E-178,1.01E-65,1.69E-136
