"","V1","V5","V10","V3","V12","V9","V11","V7","V8","V2","V13","V4","V6"
"1",347,"Hdt","Plutarch","Athenaeus","Sophocles","Odyssey","Polybius","Iliad","Lysias","Aeschylus","Thucydides","Diodorus","Hesiod"
"2",348,"1","1.74e-11","1.5e-18","1.29e-36","1.56e-39","2.97e-41","9.94e-53","6.92e-56","3.42e-61","1.04e-62","2.8e-121","7.19e-208"
"3",349,"Iliad","Odyssey","Hesiod","Sophocles","Aeschylus","Hdt","Athenaeus","Diodorus","Lysias","Plutarch","Polybius","Thucydides"
"4",350,"0.999995457","4.54e-06","5.97e-82","6.62e-88","3.29e-94","1.26e-120","7.45e-242","0","0","0","0","0"
"5",351,"Athenaeus","Plutarch","Polybius","Aeschylus","Hesiod","Sophocles","Hdt","Iliad","Odyssey","Thucydides","Diodorus","Lysias"
"6",352,"1","4.95e-59","6.9e-63","2.67e-64","1.13e-66","1.22e-75","1.93e-79","1.62e-85","9.63e-102","2.4e-119","1.25e-296","0"
"7",353,"Hdt","Athenaeus","Polybius","Iliad","Odyssey","Sophocles","Thucydides","Plutarch","Aeschylus","Hesiod","Diodorus","Lysias"
"8",354,"1","8.86e-11","6.97e-30","7.19e-35","8.46e-39","5.53e-39","7.21e-43","3.58e-43","4.04e-46","3.74e-53","1.44e-107","8.84e-139"
"9",355,"Hesiod","Iliad","Odyssey","Aeschylus","Sophocles","Athenaeus","Hdt","Thucydides","Polybius","Plutarch","Diodorus","Lysias"
"10",356,"0.99979956","0.00020044","1.29e-16","7.39e-41","8.06e-43","7.71e-65","2.84e-81","1.6e-98","3.57e-177","4.29e-194","0","0"
"11",357,"Odyssey","Iliad","Sophocles","Hesiod","Hdt","Aeschylus","Athenaeus","Thucydides","Polybius","Lysias","Diodorus","Plutarch"
"12",358,"1","2.4e-20","3.54e-46","7.87e-57","3.05e-57","6.77e-73","2.82e-159","2.52e-218","4.64e-249","2.26e-297","0","0"
"13",359,"Diodorus","Plutarch","Thucydides","Polybius","Hdt","Hesiod","Iliad","Sophocles","Odyssey","Athenaeus","Aeschylus","Lysias"
"14",360,"0.956445796","0.043553953","1.28e-07","1.23e-07","6.61e-20","2.89e-49","1.8e-63","3.58e-72","1.22e-72","4.07e-100","4.83e-160","6.83e-203"
"15",361,"Hdt","Athenaeus","Polybius","Plutarch","Sophocles","Iliad","Odyssey","Aeschylus","Thucydides","Hesiod","Diodorus","Lysias"
"16",362,"1","4.34e-12","2.15e-24","8.27e-25","1.5e-35","4.55e-44","2.87e-59","3.2e-60","7.24e-68","4.6e-69","1.37e-74","1.18e-113"
"17",363,"Hesiod","Odyssey","Aeschylus","Iliad","Sophocles","Diodorus","Athenaeus","Hdt","Lysias","Plutarch","Polybius","Thucydides"
"18",364,"1","1.77e-61","6.01e-67","7.13e-75","7.54e-199","3.54e-218","1.03e-296","0","0","0","0","0"
"19",365,"Athenaeus","Aeschylus","Sophocles","Hdt","Odyssey","Iliad","Hesiod","Plutarch","Polybius","Thucydides","Diodorus","Lysias"
"20",366,"1","1.52e-37","1.6e-42","2.42e-82","2.69e-84","1.07e-86","4.16e-94","1.57e-104","7.46e-110","1.37e-219","0","0"
"21",367,"Polybius","Diodorus","Hdt","Athenaeus","Plutarch","Thucydides","Sophocles","Iliad","Hesiod","Aeschylus","Odyssey","Lysias"
"22",368,"1","6.56e-51","5.06e-55","1.8e-57","4.91e-60","9.72e-80","2.56e-81","1.94e-93","7.15e-100","1.68e-117","1.58e-123","5.7e-228"
"23",369,"Aeschylus","Sophocles","Athenaeus","Odyssey","Iliad","Hesiod","Hdt","Diodorus","Lysias","Plutarch","Polybius","Thucydides"
"24",370,"0.999999998","2.18e-09","5.92e-76","1.32e-79","6.23e-125","3.29e-210","1.23e-265","0","0","0","0","0"
"25",371,"Athenaeus","Sophocles","Aeschylus","Hdt","Odyssey","Iliad","Polybius","Plutarch","Thucydides","Hesiod","Diodorus","Lysias"
"26",372,"0.9950486","0.004926966","2.4e-05","4.57e-07","3.48e-09","2.17e-14","1.35e-52","5.38e-59","2.16e-95","1.75e-141","3.79e-168","4.58e-209"
"27",373,"Iliad","Odyssey","Hesiod","Aeschylus","Sophocles","Athenaeus","Hdt","Thucydides","Polybius","Diodorus","Lysias","Plutarch"
"28",374,"0.999999998","1.16e-09","8.42e-10","2.63e-21","2.09e-45","4.84e-64","8.31e-111","7.77e-195","5.46e-266","0","0","0"
"29",375,"Aeschylus","Sophocles","Athenaeus","Hesiod","Odyssey","Iliad","Hdt","Diodorus","Lysias","Plutarch","Polybius","Thucydides"
"30",376,"0.999999898","1.02e-07","7.94e-53","2.62e-60","2.87e-66","5.58e-86","8.14e-304","0","0","0","0","0"
"31",377,"Hdt","Polybius","Athenaeus","Plutarch","Thucydides","Iliad","Odyssey","Sophocles","Aeschylus","Hesiod","Diodorus","Lysias"
"32",378,"0.993925007","0.006074993","4.83e-12","3.53e-13","4.37e-30","2.86e-45","5.04e-48","8.96e-51","3.17e-60","7.34e-72","1.49e-104","4.25e-128"
"33",379,"Aeschylus","Sophocles","Odyssey","Iliad","Athenaeus","Hesiod","Polybius","Diodorus","Hdt","Lysias","Plutarch","Thucydides"
"34",380,"1","3.23e-19","5.39e-39","2.17e-59","2.97e-66","2.78e-128","5.91e-257","0","0","0","0","0"
"35",381,"Polybius","Plutarch","Athenaeus","Hdt","Diodorus","Thucydides","Sophocles","Hesiod","Iliad","Aeschylus","Odyssey","Lysias"
"36",382,"1","1.83e-11","2.64e-19","5.94e-20","1.12e-28","5.12e-44","1.82e-62","8.75e-76","2.46e-93","2.46e-119","5.75e-125","2.09e-273"
"37",383,"Polybius","Diodorus","Plutarch","Hdt","Thucydides","Athenaeus","Sophocles","Iliad","Odyssey","Aeschylus","Hesiod","Lysias"
"38",384,"0.999999998","1.53e-09","3.1e-26","2.07e-35","1.05e-49","1.05e-60","2.49e-66","5.42e-72","2.82e-101","1.8e-111","3.81e-175","1.92e-217"
"39",385,"Aeschylus","Iliad","Odyssey","Sophocles","Hesiod","Hdt","Athenaeus","Thucydides","Polybius","Plutarch","Diodorus","Lysias"
"40",386,"0.985431792","0.014564314","3.89e-06","6.88e-22","1.97e-28","3.79e-37","1.61e-40","8.12e-119","6.19e-216","6.55e-248","0","0"
"41",387,"Sophocles","Iliad","Hdt","Hesiod","Aeschylus","Athenaeus","Diodorus","Lysias","Odyssey","Plutarch","Polybius","Thucydides"
"42",388,"1","2.69e-119","6.77e-152","1.94e-190","0","0","0","0","0","0","0","0"
"43",389,"Thucydides","Hdt","Plutarch","Odyssey","Iliad","Polybius","Athenaeus","Hesiod","Aeschylus","Lysias","Sophocles","Diodorus"
"44",390,"1","6.28e-22","2.48e-22","2.39e-40","3e-56","6.98e-63","1.42e-63","5.07e-84","1.44e-103","7.24e-105","1.44e-120","4.89e-124"
"45",391,"Plutarch","Athenaeus","Hdt","Polybius","Sophocles","Thucydides","Diodorus","Aeschylus","Odyssey","Iliad","Lysias","Hesiod"
"46",392,"1","1.21e-10","3.18e-12","4.3e-31","2.4e-43","5.15e-57","6.92e-65","7.94e-75","3.41e-88","8.81e-89","3.25e-110","3.17e-174"
"47",393,"Thucydides","Hdt","Diodorus","Plutarch","Odyssey","Polybius","Iliad","Athenaeus","Hesiod","Sophocles","Aeschylus","Lysias"
"48",394,"1","3.6e-17","9.41e-33","1.58e-38","5.94e-40","2.4e-54","2.09e-63","1.9e-92","3.37e-105","3.27e-124","2.37e-164","0"
"49",395,"Iliad","Hesiod","Odyssey","Aeschylus","Sophocles","Athenaeus","Hdt","Thucydides","Plutarch","Polybius","Diodorus","Lysias"
"50",396,"0.996438569","0.003561431","2.35e-15","8.92e-27","3.89e-40","4.89e-53","7.94e-84","1.42e-97","3.11e-140","5.67e-174","0","0"
"51",397,"Diodorus","Polybius","Plutarch","Hdt","Thucydides","Hesiod","Athenaeus","Iliad","Sophocles","Odyssey","Aeschylus","Lysias"
"52",398,"1","3.24e-25","1.19e-45","5.83e-52","3.59e-65","6.63e-84","9.54e-119","5.2e-139","2.05e-144","7.76e-164","4.28e-238","0"
"53",399,"Aeschylus","Sophocles","Athenaeus","Odyssey","Hesiod","Iliad","Lysias","Hdt","Diodorus","Plutarch","Polybius","Thucydides"
"54",400,"1","1e-11","4.78e-56","4.74e-67","2.1e-68","1.86e-86","2.3e-273","4.35e-308","0","0","0","0"
"55",401,"Sophocles","Aeschylus","Athenaeus","Odyssey","Hesiod","Iliad","Hdt","Lysias","Polybius","Diodorus","Plutarch","Thucydides"
"56",402,"1","8.79e-14","1.85e-64","1.05e-64","4.56e-134","4.28e-134","2.45e-265","7.69e-291","2.6e-308","0","0","0"
"57",403,"Thucydides","Hdt","Diodorus","Odyssey","Polybius","Iliad","Plutarch","Aeschylus","Athenaeus","Sophocles","Hesiod","Lysias"
"58",404,"1","1.27e-20","2.73e-24","2.33e-40","1.61e-49","1.54e-73","8.08e-125","7.37e-126","1.06e-129","3.15e-288","2.48e-295","0"
"59",405,"Sophocles","Hesiod","Odyssey","Iliad","Aeschylus","Hdt","Athenaeus","Thucydides","Plutarch","Polybius","Diodorus","Lysias"
"60",406,"0.999951337","4.87e-05","8.34e-15","4.13e-19","1.58e-22","1.38e-28","1.05e-44","1.3e-100","7.2e-106","9.47e-140","1.8e-300","0"
"61",407,"Polybius","Diodorus","Plutarch","Athenaeus","Hdt","Sophocles","Iliad","Thucydides","Hesiod","Lysias","Aeschylus","Odyssey"
"62",408,"1","2.36e-26","4.46e-33","1.92e-39","1.94e-51","5.76e-73","1.94e-116","6.5e-118","2.68e-125","5.09e-146","2.9e-171","2.92e-243"
"63",409,"Odyssey","Iliad","Hesiod","Aeschylus","Hdt","Athenaeus","Thucydides","Polybius","Diodorus","Lysias","Plutarch","Sophocles"
"64",410,"1","5.7e-12","4.63e-47","1.77e-47","2.41e-70","4.08e-119","6.72e-144","2.09e-206","0","0","0","0"
"65",411,"Aeschylus","Sophocles","Athenaeus","Odyssey","Iliad","Hesiod","Polybius","Hdt","Thucydides","Plutarch","Lysias","Diodorus"
"66",412,"0.512705174","0.487294826","1.78e-18","6.95e-39","7.74e-48","1.1e-65","5.53e-170","2e-187","3.2e-244","1.63e-250","1.79e-266","0"
"67",413,"Sophocles","Aeschylus","Odyssey","Athenaeus","Iliad","Hesiod","Hdt","Plutarch","Thucydides","Polybius","Lysias","Diodorus"
"68",414,"1","2.32e-25","1.37e-41","1.67e-56","1.46e-62","1.37e-73","7.07e-114","7.69e-251","2.68e-259","8.95e-268","7.45e-290","0"
"69",415,"Athenaeus","Hdt","Plutarch","Aeschylus","Sophocles","Polybius","Diodorus","Hesiod","Thucydides","Iliad","Lysias","Odyssey"
"70",416,"1","4.47e-36","3.46e-45","7.96e-57","3.21e-77","6.35e-85","6.31e-114","7.71e-130","5.51e-186","2.2e-210","7.54e-215","1.31e-218"
"71",417,"Aeschylus","Hesiod","Sophocles","Odyssey","Iliad","Athenaeus","Hdt","Lysias","Polybius","Thucydides","Plutarch","Diodorus"
"72",418,"0.999499235","0.000500593","1.72e-07","4.59e-14","8.94e-16","1.01e-38","9.49e-95","9.4e-215","4.21e-249","3.16e-266","7e-296","0"
"73",419,"Aeschylus","Iliad","Odyssey","Hesiod","Sophocles","Athenaeus","Hdt","Thucydides","Plutarch","Polybius","Diodorus","Lysias"
"74",420,"1","3.59e-19","3.74e-21","2.28e-21","1.51e-36","3.75e-49","1.08e-57","8.22e-138","2.65e-194","2.6e-221","0","0"
"75",421,"Iliad","Odyssey","Hesiod","Aeschylus","Sophocles","Hdt","Athenaeus","Thucydides","Polybius","Plutarch","Diodorus","Lysias"
"76",422,"1","5.2e-11","1.4e-39","5.6e-42","6.79e-52","2.08e-60","6.19e-73","3.77e-112","1.07e-215","2.11e-252","0","0"
"77",423,"Athenaeus","Hdt","Sophocles","Aeschylus","Iliad","Plutarch","Hesiod","Odyssey","Polybius","Thucydides","Lysias","Diodorus"
"78",424,"1","6.16e-44","1.51e-54","2.73e-58","2.28e-66","1.1e-68","2e-69","2e-73","2.32e-101","9.07e-141","4.38e-203","4.92e-306"
"79",425,"Sophocles","Athenaeus","Hdt","Odyssey","Aeschylus","Iliad","Thucydides","Plutarch","Lysias","Hesiod","Polybius","Diodorus"
"80",426,"0.780633143","0.219081365","0.000285491","1.88e-09","1.62e-10","2.36e-20","2.35e-29","4.13e-33","1.3e-35","1.58e-41","3.78e-42","6.62e-185"
"81",427,"Sophocles","Athenaeus","Hdt","Aeschylus","Odyssey","Polybius","Iliad","Hesiod","Lysias","Diodorus","Plutarch","Thucydides"
"82",428,"0.999998409","1.57e-06","1.67e-08","9.35e-15","1.41e-26","1.65e-29","5.16e-54","8.16e-69","2.47e-76","2.2e-84","8.6e-91","9.22e-111"
"83",429,"Aeschylus","Sophocles","Odyssey","Athenaeus","Iliad","Hesiod","Hdt","Plutarch","Polybius","Diodorus","Lysias","Thucydides"
"84",430,"0.997285904","0.002714096","7.74e-38","7.97e-43","1.09e-51","3.59e-62","2.11e-132","1.79e-234","3.67e-262","0","0","0"
"85",431,"Aeschylus","Sophocles","Odyssey","Athenaeus","Hesiod","Iliad","Hdt","Diodorus","Lysias","Plutarch","Polybius","Thucydides"
"86",432,"1","4.04e-18","9.09e-57","4.52e-64","1.9e-81","3.75e-89","1.82e-248","0","0","0","0","0"
"87",433,"Aeschylus","Sophocles","Athenaeus","Odyssey","Hesiod","Iliad","Hdt","Polybius","Plutarch","Diodorus","Lysias","Thucydides"
"88",434,"0.999083108","0.000916892","2.51e-38","1.35e-59","2.49e-75","7.08e-79","2.28e-153","1.11e-232","6.79e-257","0","0","0"
"89",435,"Sophocles","Athenaeus","Aeschylus","Odyssey","Polybius","Iliad","Lysias","Hesiod","Thucydides","Hdt","Diodorus","Plutarch"
"90",436,"1","1.63e-10","1.71e-11","1.82e-32","3.93e-45","9.89e-71","9e-79","3.02e-107","5.6e-129","1.64e-156","2.79e-170","7.53e-214"
"91",437,"Thucydides","Hdt","Odyssey","Iliad","Polybius","Plutarch","Athenaeus","Diodorus","Hesiod","Sophocles","Aeschylus","Lysias"
"92",438,"1","5.78e-20","7.26e-43","4.69e-55","5.62e-62","2.38e-83","8.11e-88","2.7e-91","6.99e-142","3.19e-153","4e-220","0"
"93",439,"Sophocles","Aeschylus","Athenaeus","Odyssey","Polybius","Iliad","Hesiod","Hdt","Diodorus","Plutarch","Lysias","Thucydides"
"94",440,"0.999971385","2.84e-05","2.36e-07","5.1e-25","1.45e-29","5.26e-51","3.83e-59","2.46e-94","9.09e-110","7.11e-124","1.53e-125","7.52e-298"
"95",441,"Athenaeus","Sophocles","Hdt","Aeschylus","Plutarch","Odyssey","Iliad","Hesiod","Thucydides","Polybius","Lysias","Diodorus"
"96",442,"1","1.01e-65","8.05e-72","4.77e-79","1.79e-90","7.88e-93","6.26e-95","1.03e-100","1.69e-136","4e-178","1.63e-180","1e-270"
"97",443,"Sophocles","Aeschylus","Athenaeus","Odyssey","Iliad","Hesiod","Polybius","Hdt","Lysias","Diodorus","Plutarch","Thucydides"
"98",444,"0.999872916","0.000127084","3.93e-45","1.2e-50","2e-75","2.55e-80","4.57e-224","3e-240","2.93e-266","0","0","0"
"99",445,"Hdt","Polybius","Athenaeus","Plutarch","Aeschylus","Thucydides","Hesiod","Iliad","Odyssey","Sophocles","Diodorus","Lysias"
"100",446,"0.999955666","4.43e-05","6.34e-11","3.43e-16","3.67e-27","1.87e-35","1.94e-41","8.95e-47","1.18e-48","2.73e-50","1.91e-92","0"
"101",447,"Odyssey","Iliad","Sophocles","Hesiod","Aeschylus","Hdt","Athenaeus","Thucydides","Polybius","Diodorus","Lysias","Plutarch"
"102",448,"1","3.34e-17","4.19e-36","7.29e-37","3.62e-43","7.01e-63","1.7e-96","1.17e-164","9.12e-209","0","0","0"
"103",449,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"104",450,"450","450","450","450","450","450","450","450","450","450","450","450"
"105",451,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"106",452,"452","452","452","452","452","452","452","452","452","452","452","452"
"107",453,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"108",454,"454","454","454","454","454","454","454","454","454","454","454","454"
"109",455,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"110",456,"456","456","456","456","456","456","456","456","456","456","456","456"
"111",457,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"112",458,"458","458","458","458","458","458","458","458","458","458","458","458"
"113",459,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"114",460,"460","460","460","460","460","460","460","460","460","460","460","460"
"115",461,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"116",462,"462","462","462","462","462","462","462","462","462","462","462","462"
"117",463,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"118",464,"464","464","464","464","464","464","464","464","464","464","464","464"
"119",465,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"120",466,"466","466","466","466","466","466","466","466","466","466","466","466"
"121",467,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"122",468,"468","468","468","468","468","468","468","468","468","468","468","468"
"123",469,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"124",470,"470","470","470","470","470","470","470","470","470","470","470","470"
"125",471,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"126",472,"472","472","472","472","472","472","472","472","472","472","472","472"
"127",473,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"128",474,"474","474","474","474","474","474","474","474","474","474","474","474"
"129",475,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"130",476,"476","476","476","476","476","476","476","476","476","476","476","476"
"131",477,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"132",478,"478","478","478","478","478","478","478","478","478","478","478","478"
"133",479,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"134",480,"480","480","480","480","480","480","480","480","480","480","480","480"
"135",481,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"136",482,"482","482","482","482","482","482","482","482","482","482","482","482"
"137",483,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"138",484,"484","484","484","484","484","484","484","484","484","484","484","484"
"139",485,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"140",486,"486","486","486","486","486","486","486","486","486","486","486","486"
"141",487,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"142",488,"488","488","488","488","488","488","488","488","488","488","488","488"
"143",489,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"144",490,"490","490","490","490","490","490","490","490","490","490","490","490"
"145",491,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"146",492,"492","492","492","492","492","492","492","492","492","492","492","492"
"147",493,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"148",494,"494","494","494","494","494","494","494","494","494","494","494","494"
"149",495,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"150",496,"496","496","496","496","496","496","496","496","496","496","496","496"
"151",497,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"152",498,"498","498","498","498","498","498","498","498","498","498","498","498"
"153",499,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"154",500,"500","500","500","500","500","500","500","500","500","500","500","500"
"155",501,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"156",502,"502","502","502","502","502","502","502","502","502","502","502","502"
"157",503,"Aeschylus","Athenaeus","Diodorus","Hdt","Hesiod","Iliad","Lysias","Odyssey","Plutarch","Polybius","Sophocles","Thucydides"
"158",504,"504","504","504","504","504","504","504","504","504","504","504","504"
"159",505,"Odyssey","Iliad","Hdt","Athenaeus","Thucydides","Sophocles","Hesiod","Polybius","Aeschylus","Diodorus","Lysias","Plutarch"
"160",506,"0.999999997","3.1e-09","1.02e-76","6.16e-112","2.35e-131","6.33e-227","1.53e-272","1.02e-272","0","0","0","0"
"161",507,"Hdt","Thucydides","Athenaeus","Iliad","Hesiod","Plutarch","Polybius","Aeschylus","Sophocles","Odyssey","Diodorus","Lysias"
"162",508,"1","1.19e-10","7.24e-20","7.45e-32","1.77e-40","1.09e-40","7.23e-42","4.19e-52","2.04e-54","3.83e-56","1.92e-99","1.14e-201"
"163",509,"Plutarch","Polybius","Diodorus","Hdt","Thucydides","Athenaeus","Sophocles","Odyssey","Iliad","Hesiod","Lysias","Aeschylus"
"164",510,"1","2.69e-16","2.33e-20","8.05e-21","4.4e-32","3.48e-32","2.63e-59","2.48e-63","2.41e-68","3.15e-69","7.89e-75","4.2e-119"
"165",511,"Thucydides","Hdt","Odyssey","Iliad","Athenaeus","Diodorus","Polybius","Plutarch","Hesiod","Sophocles","Lysias","Aeschylus"
"166",512,"1","1.15e-16","4.9e-36","1.52e-41","1.46e-44","1.33e-47","2.81e-65","2.2e-72","1.17e-109","1.73e-122","1.19e-141","2.63e-183"
"167",513,"Athenaeus","Polybius","Plutarch","Hdt","Sophocles","Thucydides","Aeschylus","Hesiod","Odyssey","Iliad","Diodorus","Lysias"
"168",514,"0.999999999","1.18e-09","3.3e-16","7.03e-18","4.47e-20","4.74e-23","7.28e-27","1.7e-34","4.05e-39","2.57e-43","1.13e-47","3.24e-54"
"169",515,"Hdt","Polybius","Athenaeus","Odyssey","Iliad","Thucydides","Diodorus","Plutarch","Sophocles","Hesiod","Lysias","Aeschylus"
"170",516,"1","8.55e-23","4.76e-27","1.32e-39","3.67e-42","3.52e-42","1.27e-47","1.89e-84","6.84e-97","1.23e-114","7.77e-123","1.26e-137"
"171",517,"Odyssey","Iliad","Hesiod","Aeschylus","Sophocles","Hdt","Thucydides","Athenaeus","Polybius","Diodorus","Lysias","Plutarch"
"172",518,"0.928069202","0.071930798","9.59e-43","8.81e-56","6.42e-91","2.07e-143","6.44e-197","2.01e-223","3.53e-239","0","0","0"
"173",519,"Hdt","Iliad","Odyssey","Athenaeus","Thucydides","Diodorus","Polybius","Sophocles","Hesiod","Plutarch","Aeschylus","Lysias"
"174",520,"1","8.54e-20","9.33e-31","8.16e-49","2.35e-63","2.1e-85","6.37e-86","7.85e-95","1.06e-98","9.99e-136","6.94e-137","1.14e-172"
"175",521,"Athenaeus","Sophocles","Hdt","Aeschylus","Odyssey","Hesiod","Iliad","Polybius","Thucydides","Plutarch","Diodorus","Lysias"
"176",522,"1","2.31e-20","1.08e-22","3.1e-34","1.65e-36","7.61e-37","6.99e-44","2.08e-76","1.44e-111","7.06e-120","3.86e-127","2.32e-143"
"177",523,"Aeschylus","Odyssey","Sophocles","Iliad","Hesiod","Athenaeus","Lysias","Polybius","Diodorus","Hdt","Plutarch","Thucydides"
"178",524,"0.996727155","0.003193211","7.96e-05","1.8e-11","7.8e-27","6.27e-49","1.18e-74","6.47e-178","8.46e-234","5.57e-252","0","0"
"179",525,"Plutarch","Athenaeus","Polybius","Hdt","Sophocles","Lysias","Thucydides","Diodorus","Aeschylus","Iliad","Odyssey","Hesiod"
"180",526,"0.994266765","0.004061767","0.001671468","1.99e-14","2.23e-24","8.29e-32","4.61e-33","6.1e-40","1.29e-42","1.89e-54","8.67e-59","4.48e-82"
"181",527,"Diodorus","Polybius","Hdt","Thucydides","Plutarch","Hesiod","Iliad","Athenaeus","Odyssey","Sophocles","Aeschylus","Lysias"
"182",528,"1","1.09e-30","4.09e-44","4.39e-52","3.56e-54","1.85e-84","1.06e-95","7.62e-103","2.34e-125","6.37e-149","2.08e-162","2.98e-194"
"183",529,"Hdt","Thucydides","Odyssey","Iliad","Hesiod","Diodorus","Polybius","Sophocles","Plutarch","Athenaeus","Aeschylus","Lysias"
"184",530,"0.999999994","5.92e-09","1.11e-20","1.31e-24","1.32e-61","2.22e-63","1.22e-66","3.35e-83","4.35e-93","1.28e-93","3.66e-102","2.33e-141"
"185",531,"Aeschylus","Sophocles","Hesiod","Odyssey","Athenaeus","Iliad","Lysias","Hdt","Polybius","Diodorus","Plutarch","Thucydides"
"186",532,"1","4.7e-10","7.42e-38","2.86e-41","2.83e-42","8.35e-48","4.55e-169","4.1e-169","2.04e-193","4.61e-299","0","0"
"187",533,"Thucydides","Plutarch","Hdt","Polybius","Diodorus","Athenaeus","Odyssey","Hesiod","Iliad","Sophocles","Aeschylus","Lysias"
"188",534,"0.975211883","0.024788117","1.49e-13","1.44e-21","6.69e-22","1.94e-26","2.48e-31","8.15e-33","5.35e-39","3.03e-44","6.78e-76","1.73e-78"
"189",535,"Aeschylus","Odyssey","Iliad","Hesiod","Sophocles","Athenaeus","Hdt","Thucydides","Polybius","Lysias","Diodorus","Plutarch"
"190",536,"1","2.96e-19","7.48e-30","2.87e-36","1.44e-36","1.01e-110","2.8e-141","1.01e-232","8.61e-272","2.37e-304","0","0"
"191",537,"Sophocles","Athenaeus","Lysias","Hdt","Odyssey","Aeschylus","Hesiod","Iliad","Thucydides","Polybius","Plutarch","Diodorus"
"192",538,"0.800697742","0.199210156","9.19e-05","1.59e-07","3e-09","7.19e-12","8.65e-19","1.68e-19","8.98e-26","1.41e-38","3.56e-77","1.09e-98"
"193",539,"Sophocles","Aeschylus","Odyssey","Athenaeus","Iliad","Hesiod","Lysias","Polybius","Thucydides","Hdt","Plutarch","Diodorus"
"194",540,"0.9999992","8e-07","1.65e-42","1.2e-54","1.02e-78","1.24e-92","5.55e-155","1.44e-243","4.91e-248","6.75e-259","3.4e-276","0"
"195",541,"Hdt","Athenaeus","Polybius","Thucydides","Plutarch","Diodorus","Sophocles","Lysias","Odyssey","Aeschylus","Iliad","Hesiod"
