"","V1","V5","V10","V3","V12","V9","V11","V7","V8","V2","V13","V4","V6"
"1648",1994,"1","3.22e-11","1.45e-18","2.29e-26","2.35e-31","9.18e-46","4.08e-46","3.29e-46","3.21e-49","9.19e-51","2.89e-85","0"
"1649",1995,"Athenaeus","Polybius","Hdt","Plutarch","Sophocles","Thucydides","Hesiod","Aeschylus","Iliad","Odyssey","Diodorus","Lysias"
"1650",1996,"0.714366118","0.285627121","6.76e-06","7.51e-18","4.01e-19","2.52e-28","2.41e-41","2.84e-43","1.74e-48","1.44e-62","3.09e-101","0"
"1651",1997,"Iliad","Odyssey","Hesiod","Aeschylus","Hdt","Sophocles","Thucydides","Athenaeus","Diodorus","Lysias","Plutarch","Polybius"
"1652",1998,"1","2.92e-34","7.66e-57","5.67e-104","1.04e-113","1.24e-136","9.38e-169","8.27e-292","0","0","0","0"
"1653",1999,"Athenaeus","Sophocles","Polybius","Hdt","Odyssey","Plutarch","Iliad","Aeschylus","Hesiod","Diodorus","Thucydides","Lysias"
"1654",2000,"1","7.17e-13","1.85e-13","1.46e-16","2.51e-25","1.15e-25","7.85e-28","1.47e-38","6.59e-56","1.45e-78","6.42e-99","0"
"1655",2001,"Hdt","Thucydides","Odyssey","Iliad","Athenaeus","Plutarch","Polybius","Hesiod","Sophocles","Diodorus","Aeschylus","Lysias"
"1656",2002,"1","3.07e-16","2.81e-33","1.41e-35","3.76e-37","5.33e-66","1.09e-87","1.07e-106","3.42e-112","2.25e-118","2.54e-175","5.62e-289"
"1657",2003,"Hdt","Thucydides","Polybius","Diodorus","Aeschylus","Sophocles","Athenaeus","Iliad","Odyssey","Plutarch","Hesiod","Lysias"
"1658",2004,"1","8.4e-23","5.96e-28","7.82e-82","3.37e-122","4.62e-137","6.39e-197","2.96e-213","1.07e-242","2.94e-265","0","0"
"1659",2005,"Iliad","Odyssey","Hesiod","Hdt","Aeschylus","Sophocles","Athenaeus","Thucydides","Polybius","Plutarch","Diodorus","Lysias"
"1660",2006,"0.999999268","7.32e-07","4.44e-41","2.85e-55","1.35e-58","5.63e-71","8.53e-115","1.28e-166","5.75e-195","2.88e-279","0","0"
"1661",2007,"Odyssey","Iliad","Hesiod","Aeschylus","Sophocles","Athenaeus","Hdt","Polybius","Lysias","Plutarch","Thucydides","Diodorus"
"1662",2008,"0.809589488","0.190410512","3.49e-20","7.65e-25","5.54e-44","2.79e-57","3.24e-69","1.34e-159","3.83e-216","4.45e-243","1.31e-243","0"
"1663",2009,"Sophocles","Athenaeus","Hdt","Aeschylus","Odyssey","Polybius","Iliad","Plutarch","Hesiod","Diodorus","Thucydides","Lysias"
"1664",2010,"1","2.06e-10","7.73e-11","5.28e-20","1.73e-26","2.66e-30","3.55e-53","4.35e-67","4.03e-70","5.53e-111","2.52e-118","5.62e-231"
"1665",2011,"Plutarch","Athenaeus","Polybius","Hdt","Sophocles","Thucydides","Aeschylus","Iliad","Odyssey","Diodorus","Hesiod","Lysias"
"1666",2012,"0.999999999","1.3e-09","7.45e-19","6.57e-20","6.84e-33","5.33e-40","2.33e-46","6.19e-60","4.45e-65","7.07e-81","1.5e-128","1.9e-303"
"1667",2013,"Diodorus","Hdt","Thucydides","Polybius","Plutarch","Iliad","Odyssey","Hesiod","Athenaeus","Sophocles","Aeschylus","Lysias"
"1668",2014,"1","4.62e-35","3.5e-39","4.44e-46","1.77e-52","2.09e-111","4.04e-134","6.44e-148","1.44e-195","4.23e-202","2.94e-254","0"
"1669",2015,"Polybius","Plutarch","Athenaeus","Hdt","Thucydides","Hesiod","Sophocles","Diodorus","Aeschylus","Iliad","Odyssey","Lysias"
