"Aesch_Ag" "Aesch_Cho" "Aesch_Eumen" "Aesch_Pers" "Aesch_PromV" "Aesch_Septem" "Aesch_Supp" "Athenaeus_Book12" "Athenaeus_Book13" "DioSic_Book11" "Hdt_Book1" "Hesiod_Theog" "Hesiod_Works" "Plato_Euth" "Plut_Lyc" "Polybius_Book1" "Soph_Ajax" "Soph_Antig" "Soph_Elec" "Soph_OT" "Soph_Trach" "Thuc_Book1"
"auxk-root" 8.22965531307363 8.7288264916832 8.1974921630094 7.68740031897927 8.33097194672712 8.32798459563543 8.8082030593377 4.95316636122989 5.79234540566187 3.95389787097807 4.68724875381894 5.42807796693807 7.07390865869471 6.95423979006069 4.05304445274561 3.53756898259516 8.28583491661389 7.79339504056679 8.7806273238631 8.30576665176576 7.56854747337412 3.68075801749271
"pred-co-coord-root" 2.46787681011626 2.97573630398291 3.18181818181818 3.74800637958533 3.40039671294984 3.35365853658537 2.58867036476719 1.37955609855427 1.61315831092836 2.28909876740836 2.47226242161119 4.41648161855416 4.53825097248235 2.65704444808922 1.40082181546507 1.54238007641149 2.40658644711843 2.41115301108445 1.97349604347412 1.86857398301296 2.67391796963517 2.64577259475219
"coord-root" 2.30471140118295 2.21272699526934 2.25705329153605 3.30143540669856 2.0544063474072 2.48716302952503 2.06757438224912 0.712685807371207 0.802625336074648 1.20057627661277 1.35069946936807 3.84900074019245 4.7255438697594 3.08348368049861 0.756443780351139 0.845478986840243 1.82605024276969 1.86264426922637 1.60167794832682 1.35002235136343 1.81282574212554 1.37026239067055
"adv-pred-co-coord-root" 1.35631246175811 1.29711582481306 1.28526645768025 1.8341307814992 1.30348540663077 1.42811296534018 1.00857286938981 0.473427000610874 0.648426379882967 1.13654554186009 1.36275928605885 2.68936590180114 2.52125054026797 0.885681482696408 0.541651101979828 0.813640865996887 1.60439096474562 1.29128099645755 0.858041758032224 0.688421993741618 1.00838431905733 1.31924198250729
"obj-pred-co-coord-root" 1.55007138486641 1.73966122386693 1.61442006269592 2.15311004784689 1.82771323321054 1.50834403080873 1.41200201714574 0.671960904092853 0.810532974853709 1.32863774611814 1.40697861392507 2.49198124845793 3.09753637804351 1.44333278661637 0.700410907732536 0.887929814631385 1.27717964956724 1.39412638555594 1.04871770426161 1.03710326329906 1.55223204169499 1.31924198250729
"sbj-pred-co-coord-root" 1.05037732000816 1.02243247367618 0.956112852664577 1.59489633173844 0.779257580051006 1.39602053915276 0.840477391158178 0.488698839340257 0.597026727819073 1.15255322554826 1.08538350217077 2.20824080927708 1.71445036738222 0.68886337543054 0.541651101979828 0.378519881137682 0.92885792695799 0.685635927322592 0.533892649442273 0.536432722396066 0.691139814185361 0.925655976676385
"auxx-coord-root" 0.418111360391597 0.778269494887838 0.893416927899687 0.956937799043062 1.04845565315954 1.21951219512195 0.52109598251807 0.127265322744858 0.00790763877906057 0.0160076836881703 0.0281395722785014 1.17197137922527 1.13816452960668 0.656060357552895 0 0.00353756898259516 0.591091408064176 0.777054050965604 0.533892649442273 0.634778721502012 0.815771583956492 0
"pred-root" 4.72159902100755 5.32580497482069 4.93730407523511 3.34928229665072 5.14310002833664 4.60526315789474 5.5807698772903 4.35756465078395 5.00158152775581 2.7533215943653 3.44106769577102 1.38169257340242 1.84411468088172 2.3454157782516 3.27792304818827 2.66732701287675 5.14038420941524 4.70803336761513 5.55820383258652 5.409029950827 4.55472467709042 2.49271137026239
"auxy-coord-root" 0.448704874566592 0.595147260796582 0.768025078369906 1.21212121212121 0.892604137149334 0.882541720154044 0.537905530341234 0.743229484829974 0.759133322789815 2.01696814470946 1.68435439781315 1.06094251171971 1.26782884310618 0.672461866491717 0.924542398206948 1.36903919626433 0.443318556048132 0.82276311278711 0.657832014491372 0.661600357621815 0.940403353727623 1.88775510204082
"auxy-pred-root" 2.89618600856618 3.52510300625668 3.1974921630094 1.91387559808612 3.06035704165486 2.56739409499358 3.63086232980333 3.64996945632254 3.79566661394907 3.13750600288138 3.04711368387201 1.17197137922527 1.70004322143783 1.98458258159751 3.26858423608517 2.92910711758879 3.08211948490606 3.19963432750543 3.75631614071885 3.82655341975861 2.82121006118287 2.74052478134111
"adv-pred-root" 2.44748113399959 2.45688997405768 2.50783699059561 1.77033492822966 2.13941626523094 2.13414634146341 2.63909900823668 1.93952351863164 2.40392218883441 2.11301424683848 2.18684675992925 1.34468295090057 1.64241463766028 0.524848286042316 1.8677624206201 2.4869109947644 3.05045387375976 2.14832590561079 2.51692249022786 2.7179257934734 2.26603217765692 1.44314868804665
"obj-pred-root" 2.96757087497451 3.32672058599115 3.4012539184953 1.89792663476874 4.12298101445169 2.74390243902439 3.34510001680955 2.01079209936876 2.65301281037482 1.6167760525052 2.04614889853674 0.900567480878362 0.936464486385247 1.36132524192226 1.67164736645499 1.34073864440357 3.10322989233692 2.63969832019198 3.16522070740776 3.10236924452392 2.57194652164061 1.21720116618076
"auxp-pred-co-coord-root" 0.418111360391597 0.366244468182512 0.61128526645768 0.653907496012759 0.340039671294984 0.754172015404365 0.554715078164397 0.381795968234575 0.399335758342559 0.97646870497839 0.659269979096318 1.56674068591167 0.965278778274024 0.328030178776447 0.242809114680613 0.640299985849724 0.327211315178383 0.319963432750543 0.276480122032606 0.259275815824765 0.351234987536823 0.852769679300292
"atr-sbj-pred-co-coord-root" 0.591474607383235 0.854570425759194 0.736677115987461 1.21212121212121 0.623406064040805 0.882541720154044 0.571524625987561 0.315618000407249 0.423058674679741 1.00848407235473 0.832127351664255 1.35701949173452 0.965278778274024 0.393636214531737 0.39223010833022 0.371444743172492 0.411652944901837 0.354245229116672 0.381351892458766 0.384443451050514 0.464536596419669 0.728862973760933
"atr-obj-pred-co-coord-root" 0.836222720783194 0.717228750190752 0.846394984326019 1.25996810207337 1.28931708699348 0.866495507060334 0.890906034627668 0.529423742618611 0.600980547208603 1.13654554186009 0.872326740633542 1.43103873673822 1.46952888632762 0.410037723470559 0.513634665670527 0.792415452101316 0.696643445218493 0.662781396411839 0.467156068261989 0.572194903889137 0.8837525492862 1.0131195335277
"auxy-pred-co-coord-root" 0.346726493983276 0.381504654356783 0.501567398119122 0.398724082934609 0.297534712383111 0.353016688061617 0.353000504286435 0.0763591936469151 0.027676735726712 0.0320153673763406 0.104518411320148 0.900567480878362 0.475435816164818 0.738067902247007 0.0373552484124019 0.0459883967737371 0.411652944901837 0.491372414581191 0.314615311278482 0.277156906571301 0.305914343983685 0.102040816326531
"sbj-pred-root" 1.95798490719967 1.84648252708683 1.5987460815047 1.33971291866029 1.68603003683763 1.90949935815148 2.1684316691881 2.48930971288943 3.00094891665349 1.50472226668801 2.03006914294903 0.666173205033309 0.994093070162801 0.721666393308184 1.68098617855809 1.46809112777699 2.02659911336289 1.88549880013713 1.72561731337592 1.8596334376397 1.63154316791298 1.34110787172012
"auxz-pred-co-coord-root" 0.275341627574954 0.274683351136884 0.454545454545455 0.207336523125997 0.609237744403514 0.385109114249037 0.302571860816944 0.11708409692527 0.181875691918393 0.048023051064511 0.237176394918797 0.283740439180854 1.05172165394035 0.639658848614073 0.102726933134105 0.127352483373426 0.411652944901837 0.365672494572049 0.333682905901421 0.339740724184175 0.4418762746431 0.174927113702624
"obj-auxp-pred-co-coord-root" 0.193758923108301 0.183122234091256 0.282131661442006 0.366826156299841 0.240861433833947 0.208600770218229 0.252143217347453 0.0712685807371208 0.0672149296220149 0.320153673763406 0.233156456021868 0.431778929188256 0.288142918887768 0.0492045268164671 0.0373552484124019 0.159190604216782 0.147772852016044 0.205690778196778 0.104871770426161 0.125167635225749 0.158622252435985 0.189504373177843
"atr-obj-pred-root" 1.65204976544972 1.84648252708683 1.63009404388715 1.05263157894737 2.23859450269198 1.4602053915276 2.23566986048075 0.96212583995113 1.59338921398071 1.31263006242997 0.952725518572118 0.592153960029608 0.446621524276041 0.295227160898803 0.915203586103848 0.965756332248479 1.23495883470551 1.30270826191292 1.13452188006483 1.14438980777827 1.1783367323816 0.459183673469388
"adv-auxp-pred-co-coord-root" 0.224352437283296 0.167862047916985 0.250783699059561 0.287081339712919 0.0850099178237461 0.513478818998716 0.268952765170617 0.249440032579923 0.292582634825241 0.49623819433328 0.35777456182666 0.986923266716013 0.605100129664313 0.246022634082336 0.18677624206201 0.392670157068063 0.137217648300612 0.125699920009142 0.152540756983507 0.107286544479213 0.181282574212554 0.53935860058309
"obj-adv-pred-co-coord-root" 0.56088109320824 0.320463909659698 0.266457680250784 0.462519936204147 0.226693114196656 0.417201540436457 0.201714573877963 0.0967216452860925 0.150245136802151 0.416199775892428 0.401993889692877 0.468788551690106 0.446621524276041 0.0984090536329342 0.102726933134105 0.180416018112353 0.316656111462951 0.29710890183979 0.238344932786729 0.116227089852481 0.181282574212554 0.240524781341108
"auxc-pred-root" 0.49969406485825 0.793529681062109 0.4858934169279 0.366826156299841 0.651742703315387 0.417201540436457 0.605143721633888 0.824679291386683 0.854024988138542 0.320153673763406 0.691429490271748 0.123365408339502 0.244921481054603 0.754469411185829 0.476279417258125 0.304230932503184 0.633312222925903 0.674208661867215 1.20125846124511 0.902995082700045 1.06503512349875 0.604956268221574
"atr-sbj-pred-root" 1.23393840505813 1.06821303219899 0.705329153605016 1.30781499202552 0.920940776423916 1.01091142490372 1.51285930408472 2.19914477703115 2.37229163371817 1.26460701136546 1.64817494774079 0.419442388354305 0.331364356720934 0.34443168771527 1.16735151288756 1.2416867128909 1.05552037154317 0.959890298251628 0.772237582229002 1.01922217255253 1.14434624971675 1.00583090379009
