"Homer_Iliad" "HomerJr_Odyssey"
"atr-adv-auxp-pred-root" 0.107288519339545 0.0969983892928016
"obj-ap-exd-apos-pred-co-coord-root" 0.166454982210617 0.0302563783115161
"atr-atr-obj-pred-co-coord-root" 0.115966267227302 0.0809803066572931
"sbj-adv-auxc-pred-co-coord-root" 0.104132974653087 0.0916590284142988
"auxx-coord-pred-root" 0.0804663895046584 0.114796258887811
"adv-obj-pred-root" 0.108077405511159 0.0827600936167941
"pnom-pred-root" 0.0978218852801729 0.0943287088535502
"atr-obj-adv-pred-root" 0.0978218852801729 0.0925489218940493
"auxx-coord-pred-co-coord-root" 0.0828330480195013 0.108567004529558
"auxz-sbj-pred-co-coord-root" 0.103344088481473 0.084539880576295
"auxz-exd-pred-co-coord-root" 0.0717886416169011 0.117465939327063
"exd-coord-root" 0.0757330724749726 0.11301647192831
"atr-sbj-co-coord-pred-co-coord-root" 0.0993996576234015 0.084539880576295
"sbj-obj-pred-co-coord-root" 0.0780997309898155 0.107677111049807
"auxx-adv-pred-root" 0.0528553734981579 0.133484021962571
"pnom-exd-pred-co-coord-root" 0.0851997065343442 0.0961084958130512
"adv-auxp-adv-pred-co-coord-root" 0.110444064026002 0.0667420109812855
"auxp-adv-pred-root" 0.0915107959072585 0.084539880576295
"auxz-sbj-pred-root" 0.0962441129369443 0.0783106262180417
"atr-obj-adv-auxc-pred-root" 0.0804663895046584 0.0952186023333007
"obj-atr-obj-pred-co-coord-root" 0.0962441129369443 0.0756409457787903
"auxp-obj-pred-co-coord-root" 0.0859885927059585 0.0854297740560455
"atr-co-coord-sbj-pred-co-coord-root" 0.074155300131744 0.0978882827725521
"atr-adv-pred-root" 0.0836219341911156 0.086319667535796
"atr-sbj-ap-apos-pred-co-coord-root" 0.0299776745213433 0.146832424158828
"auxx-coord-coord-root" 0.0654775522439867 0.105897324090306
"auxz-adv-auxc-pred-root" 0.082044161847887 0.086319667535796
"coord-obj-pred-co-coord-root" 0.0851997065343442 0.0800904131775426
"obj-adv-co-coord-auxc-pred-root" 0.0765219586465869 0.0880994544952969
"sbj-ap-exd-apos-pred-root" 0.111232950197616 0.0471643544267751
"auxz-exd-pred-root" 0.0607442352143009 0.102337750171304
"obj-exd-pred-co-coord-root" 0.0765219586465869 0.084539880576295
"auxx-atr-obj-pred-co-coord-root" 0.0702108692736725 0.0907691349345483
"auxz-obj-pred-co-coord-root" 0.082044161847887 0.0765308392585407
"sbj-exd-pred-root" 0.0844108203627299 0.0738611588192893
"apos-pred-root" 0.0276110160065004 0.136153702401823
"atr-obj-ap-apos-pred-co-coord-root" 0.0520664873265437 0.108567004529558
"coord-auxc-pred-root" 0.0623220075575295 0.0969983892928016
"sbj-obj-pred-root" 0.0828330480195013 0.0738611588192893
"atr-obj-adv-auxc-pred-co-coord-root" 0.0709997554452868 0.086319667535796
"atr-obj-ap-exd-apos-pred-co-coord-root" 0.130955104487973 0.0151281891557581
"atr-sbj-coord-root" 0.0796775033330441 0.0729712653395389
"atv-obj-pred-root" 0.0812552756762727 0.0703015849002874
"exd-pred-co-coord-root" 0.0915107959072585 0.0578430761837808
"obj-co-coord-adv-pred-co-coord-root" 0.0938774544221014 0.0551733957445294
"auxg-root" 0.0252443574916575 0.13081434152332
"auxx-exd-coord-root" 0.0197221542903574 0.137043595881573
"atr-obj-obj-pred-co-coord-root" 0.0773108448182012 0.0685217979407865
"obj-atr-sbj-pred-co-coord-root" 0.0749441863033583 0.0703015849002874
"coord-auxc-pred-co-coord-root" 0.0678442107588296 0.0765308392585407
"adv-co-coord-auxc-coord-root" 0.0599553490426866 0.0836499870965445
"obj-adv-co-coord-auxc-pred-co-coord-root" 0.0757330724749726 0.0658521175015351
"sbj-coord-coord-root" 0.0528553734981579 0.0916590284142988
"auxy-adv-auxc-pred-co-coord-root" 0.0709997554452868 0.067631904461036
"auxz-obj-pred-root" 0.0694219831020582 0.069411691420537
"atr-sbj-adv-auxc-pred-root" 0.0560109181846151 0.0836499870965445
"atr-sbj-co-coord-pred-root" 0.074155300131744 0.0631824370622836
"obj-adv-auxc-coord-root" 0.0560109181846151 0.0792005196977922
"auxx-atr-sbj-pred-co-coord-root" 0.058377576699458 0.0747510522990398
"atr-obj-co-coord-pred-root" 0.0512776011549294 0.0818702001370436
"obj-co-coord-auxp-pred-co-coord-root" 0.0631108937291438 0.0640723305420341
"pnom-exd-pred-root" 0.0725775277885154 0.0533936087850284
"auxy-exd-pred-co-coord-root" 0.0520664873265437 0.0756409457787903
"atr-co-coord-obj-pred-root" 0.058377576699458 0.067631904461036
"auxp-obj-pred-root" 0.0591664628710723 0.0658521175015351
"adv-atr-sbj-pred-co-coord-root" 0.0749441863033583 0.0471643544267751
"atr-sbj-adv-auxc-pred-co-coord-root" 0.0623220075575295 0.0596228631432817
"auxp-adv-auxc-pred-root" 0.0536442596697723 0.069411691420537
"auxz-adv-auxc-pred-co-coord-root" 0.0473331702968579 0.0765308392585407
"coord-obj-pred-root" 0.0544331458413865 0.0658521175015351
"adv-atr-obj-pred-co-coord-root" 0.0646886660723724 0.0516138218255275
"atr-obj-obj-pred-root" 0.0686330969304439 0.0462744609470246
"atr-sbj-ap-exd-apos-pred-root" 0.0859885927059585 0.0258069109127637
"obj-obj-co-coord-pred-co-coord-root" 0.0575886905278437 0.0578430761837808
"obj-atr-obj-pred-root" 0.0552220320130008 0.0596228631432817
"obj-coord-root" 0.0441776256104007 0.0720813718597884
"sbj-atr-obj-pred-co-coord-root" 0.0638997799007581 0.0498340348660265
"sbj-atr-sbj-pred-co-coord-root" 0.0575886905278437 0.0569531827040303
"obj-obj-co-coord-pred-root" 0.0481220564684722 0.0667420109812855
"coord-adv-pred-co-coord-root" 0.0638997799007581 0.0471643544267751
"obj-adv-co-coord-pred-co-coord-root" 0.0331332192078005 0.0800904131775426
"atr-obj-pred-co-coord-coord-root" 0.0528553734981579 0.0560632892242799
"atv-sbj-pred-root" 0.0623220075575295 0.0444946739875237
"adv-exd-pred-root" 0.0599553490426866 0.0453845674672742
"obj-ap-apos-pred-root" 0.0181443819471288 0.0916590284142988
"sbj-pred-co-coord-coord-root" 0.0418109670955578 0.0649622240217846
"auxx-atr-obj-pred-root" 0.0410220809239435 0.0649622240217846
"coord-sbj-pred-co-coord-root" 0.0425998532671721 0.0614026501027827
"auxz-pred-co-coord-coord-root" 0.0283999021781147 0.0765308392585407
"obj-ap-co-coord-apos-pred-co-coord-root" 0.0347109915510291 0.067631904461036
"adv-exd-adv-pred-co-coord-root" 0.0536442596697723 0.0453845674672742
"atr-atr-obj-pred-root" 0.0496998288117008 0.0498340348660265
"obj-co-coord-adv-pred-root" 0.0418109670955578 0.0578430761837808
"atvv-pred-root" 0.044966511782015 0.0516138218255275
"coord-apos-pred-co-coord-root" 0.0315554468645719 0.0667420109812855
"obj-auxp-adv-pred-root" 0.0520664873265437 0.0436047805077732
"auxy-coord-apos-pred-co-coord-root" 0.0323443330361862 0.0649622240217846
"auxx-coord-auxc-pred-root" 0.0496998288117008 0.0444946739875237
"auxy-adv-auxc-coord-root" 0.0512776011549294 0.0427148870280227
"auxx-coord-obj-pred-co-coord-root" 0.0504887149833151 0.0418249935482723
"auxp-adv-auxc-pred-co-coord-root" 0.0504887149833151 0.0409351000685218
"auxp-coord-pred-co-coord-root" 0.0441776256104007 0.0480542479065256
"obj-co-coord-adv-auxc-pred-root" 0.0410220809239435 0.0516138218255275
"coord-auxp-pred-co-coord-root" 0.0504887149833151 0.0400452065887713
"auxp-pred-co-coord-coord-root" 0.037077650065872 0.0533936087850284
"atr-atr-sbj-pred-root" 0.0536442596697723 0.033815952230518
"sbj-adv-pred-co-coord-root" 0.0615331213859152 0.0249170174330133
"adv-adv-auxc-coord-root" 0.037077650065872 0.0498340348660265
"auxz-auxy-pred-root" 0.0441776256104007 0.0418249935482723
"coord-adv-auxc-pred-root" 0.0339221053794148 0.052503715305278
"adv-adv-co-coord-auxc-pred-co-coord-root" 0.037077650065872 0.0471643544267751
"auxx-exd-pred-co-coord-root" 0.0118332925742145 0.0756409457787903
"obj-adv-co-coord-pred-root" 0.0378665362374863 0.0462744609470246
"auxy-adv-pred-co-coord-root" 0.0465442841252436 0.035595739190019
"atr-exd-coord-root" 0.0481220564684722 0.0329260587507675
"obj-adv-co-coord-auxc-coord-root" 0.0331332192078005 0.0498340348660265
"adv-coord-coord-root" 0.0331332192078005 0.0489441413862761
"adv-obj-co-coord-pred-co-coord-root" 0.029188788349729 0.0533936087850284
"auxp-coord-root" 0.0236665851484289 0.0596228631432817
"sbj-adv-auxc-coord-root" 0.0418109670955578 0.0391553131090209
"sbj-ap-co-coord-apos-pred-co-coord-root" 0.0189332681187431 0.0649622240217846
"atr-sbj-exd-pred-root" 0.037077650065872 0.0436047805077732
"atr-coord-pred-co-coord-root" 0.0386554224091006 0.0409351000685218
"atr-obj-auxp-adv-pred-co-coord-root" 0.0378665362374863 0.0418249935482723
"coord-auxc-coord-root" 0.0323443330361862 0.0480542479065256
"sbj-ap-apos-pred-root" 0.0110444064026002 0.0720813718597884
"adv-atr-obj-pred-root" 0.0457553979536293 0.0320361652710171
"auxx-coord-auxc-pred-co-coord-root" 0.0362887638942577 0.0427148870280227
"sbj-atr-obj-pred-root" 0.0354998777226434 0.0436047805077732
"atr-pnom-pred-co-coord-root" 0.0339221053794148 0.0444946739875237
