"","x"
"1","#-pred"
"2","#-pred"
"3","#-pred*aux"
"4","#-pred*aux"
"5","#-pred*adv"
"6","#-pred*adv"
"7","#-pred*sub"
"8","#-pred*sub"
"9","#-pred*pred"
"10","#-pred*pred"
"11","#-pred*obj"
"12","#-pred*obj"
"13","#-pred*xobj"
"14","#-pred*xobj"
"15","#-pred*pred*sub"
"16","#-pred*pred*sub"
"17","#-pred*obl"
"18","#-pred*obl"
"19","#-pred*adv*obl"
"20","#-pred*adv*obl"
"21","#-pred*sub*aux"
"22","#-pred*sub*aux"
"23","#-pred*xadv"
"24","#-pred*xadv"
"25","#-pred*pred*adv"
"26","#-pred*pred*adv"
"27","#-pred*adv*pred"
"28","#-pred*adv*pred"
"29","#-pred*pred*aux"
"30","#-pred*pred*aux"
"31","#-pred*pred*obj"
"32","#-pred*pred*obj"
"33","#-pred*sub*atr"
"34","#-pred*sub*atr"
"35","#-pred*obl*obl"
"36","#-pred*obl*obl"
"37","#-pred*pred*obl"
"38","#-pred*pred*obl"
"39","#-pred*sub*sub"
"40","#-pred*sub*sub"
"41","#-pred*obj*aux"
"42","#-pred*obj*aux"
"43","#-pred*comp"
"44","#-pred*comp"
"45","#-voc"
"46","#-voc"
"47","#-pred*xobj*xobj"
"48","#-pred*xobj*xobj"
"49","#-pred*pred*sub*aux"
"50","#-pred*pred*sub*aux"
"51","#-pred*obj*atr"
"52","#-pred*obj*atr"
"53","#-pred*adv*pred*sub"
"54","#-pred*adv*pred*sub"
"55","#-pred*adv*obl*aux"
"56","#-pred*adv*obl*aux"
"57","#-pred*adv*obl*atr"
"58","#-pred*adv*obl*atr"
"59","#-pred*pred*adv*obl"
"60","#-pred*pred*adv*obl"
"61","#-pred*obj*obj"
"62","#-pred*obj*obj"
"63","#-pred*adv*adv"
"64","#-pred*adv*adv"
"65","#-pred*pred*xobj"
"66","#-pred*pred*xobj"
"67","#-pred*pred*sub*atr"
"68","#-pred*pred*sub*atr"
"69","#-pred*pred*obl*obl"
"70","#-pred*pred*obl*obl"
"71","#-pred*xobj*obl"
"72","#-pred*xobj*obl"
"73","#-pred*xadv*adv"
"74","#-pred*xadv*adv"
"75","#-pred*xadv*obj"
"76","#-pred*xadv*obj"
"77","#-pred*sub*apos"
"78","#-pred*sub*apos"
