"","x"
"154","#-pred*v-*obj*c-"
"155","#-pred*v-*sub*ne*aux*s-"
"156","#-pred*v-*sub*ne*aux*s-"
"157","#-pred*c-*pred*v-*obl*r-*obl*nb*aux*s-"
"158","#-pred*c-*pred*v-*obl*r-*obl*nb*aux*s-"
"159","#-pred*v-*sub*c-"
"160","#-pred*v-*sub*c-"
"161","#-pred*sub*c-"
"162","#-pred*sub*c-"
"163","#-pred*v-*obj*nb*atr*a-"
"164","#-pred*v-*obj*nb*atr*a-"
"165","#-pred*v-*adv*g-*pred*v-*sub*nb"
"166","#-pred*v-*adv*g-*pred*v-*sub*nb"
"167","#-pred*v-*xadv*v-*obj*c-*obj*nb"
"168","#-pred*v-*xadv*v-*obj*c-*obj*nb"
"169","#-pred*adv*df"
"170","#-pred*adv*df"
"171","#-pred*v-*sub*nb*atr*nb"
"172","#-pred*v-*sub*nb*atr*nb"
"173","#-pred*c-*pred*v-*adv*r-*obl*nb*aux*s-"
"174","#-pred*c-*pred*v-*adv*r-*obl*nb*aux*s-"
"175","#-pred*v-*xadv*v-*adv*r-*obl*nb"
"176","#-pred*v-*xadv*v-*adv*r-*obl*nb"
"177","#-pred*c-*pred*sub*nb"
"178","#-pred*c-*pred*sub*nb"
"179","#-pred*c-*pred*v-*adv*g-*pred*v-"
"180","#-pred*c-*pred*v-*adv*g-*pred*v-"
"181","#-pred*v-*obj*nb*atr*pp"
"182","#-pred*v-*obj*nb*atr*pp"
"183","#-pred*adv*r-*obl*nb"
"184","#-pred*adv*r-*obl*nb"
"185","#-parpred*v-"
"186","#-parpred*v-"
"187","#-pred*v-*xadv*v-*obl*r-"
"188","#-pred*v-*xadv*v-*obl*r-"
"189","#-pred*v-*adv*r-*obl*c-*obl*nb"
"190","#-pred*v-*adv*r-*obl*c-*obl*nb"
"191","#-pred*adv*r-*obl*c-*obl*nb"
"192","#-pred*adv*r-*obl*c-*obl*nb"
"193","#-pred*xobj*r-"
"194","#-pred*xobj*r-"
"195","#-pred*c-*pred*v-*obl*nb"
"196","#-pred*c-*pred*v-*obl*nb"
"197","#-pred*v-*xadv*c-"
"198","#-pred*v-*xadv*c-"
"199","#-pred*xobj*nb"
"200","#-pred*xobj*nb"
"201","#-pred*v-*xobj*xobj*a-"
"202","#-pred*v-*xobj*xobj*a-"
"203","#-pred*v-*adv*g-*pred*v-*sub*nb*aux*s-"
"204","#-pred*v-*adv*g-*pred*v-*sub*nb*aux*s-"
"205","#-pred*v-*obl*r-*obl*pp"
"206","#-pred*v-*obl*r-*obl*pp"
"207","#-pred*v-*xobj*c-"
"208","#-pred*v-*xobj*c-"
"209","#-pred*v-*obj*c-*obj*nb*aux*s-"
"210","#-pred*v-*obj*c-*obj*nb*aux*s-"
"211","#-pred*v-*sub*nb*atr*nb*aux*s-"
"212","#-pred*v-*sub*nb*atr*nb*aux*s-"
"213","#-pred*v-*sub*a-"
"214","#-pred*v-*sub*a-"
"215","#-pred*v-*xadv*v-*obj*nb*aux*s-"
"216","#-pred*v-*xadv*v-*obj*nb*aux*s-"
"217","#-pred*v-*adv*r-*obl*pd"
"218","#-pred*v-*adv*r-*obl*pd"
"219","#-pred*v-*xobj*xobj*v-"
"220","#-pred*v-*xobj*xobj*v-"
"221","#-pred*c-*pred*v-*xobj*v-"
"222","#-pred*c-*pred*v-*xobj*v-"
"223","#-pred*c-*pred*v-*sub*pp"
"224","#-pred*c-*pred*v-*sub*pp"
"225","#-pred*v-*adv*g-*pred*c-"
"226","#-pred*v-*adv*g-*pred*c-"
"227","#-pred*v-*comp*g-*pred*c-*pred*v-"
"228","#-pred*v-*comp*g-*pred*c-*pred*v-"
"229","#-pred*v-*xobj*c-*xobj*v-"
"230","#-pred*v-*xobj*c-*xobj*v-"
"231","#-pred*v-*xobj*v-*adv*r-"
"232","#-pred*v-*xobj*v-*adv*r-"
"233","#-pred*v-*adv*g-*pred*v-*adv*r-*obl*nb"
"234","#-pred*v-*adv*g-*pred*v-*adv*r-*obl*nb"
"235","#-pred*v-*adv*r-*obl*nb*atr*pp"
"236","#-pred*v-*adv*r-*obl*nb*atr*pp"
"237","#-pred*v-*obj*v-"
"238","#-pred*v-*obj*v-"
"239","#-pred*c-*pred*v-*sub*c-*sub*nb"
"240","#-pred*c-*pred*v-*sub*c-*sub*nb"
"241","#-pred*aux*c-"
"242","#-pred*aux*c-"
"243","#-pred*v-*adv*g-*pred*v-*obj*nb"
"244","#-pred*v-*adv*g-*pred*v-*obj*nb"
"245","#-pred*v-*adv*v-*adv*dq"
"246","#-pred*v-*adv*v-*adv*dq"
"247","#-pred*v-*adv*g-*pred*v-*sub"
"248","#-pred*v-*adv*g-*pred*v-*sub"
"249","#-pred*v-*adv*nb*aux*s-"
"250","#-pred*v-*adv*nb*aux*s-"
"251","#-pred*v-*xobj*r-"
"252","#-pred*v-*xobj*r-"
"253","#-pred*v-*sub*nb*atr*pp"
"254","#-pred*v-*sub*nb*atr*pp"
"255","#-pred*v-*xadv*v-*comp*g-"
"256","#-pred*v-*xadv*v-*comp*g-"
"257","#-pred*v-*comp*v-*xobj*xobj*c-*xobj*xobj*a-"
"258","#-pred*v-*comp*v-*xobj*xobj*c-*xobj*xobj*a-"
"259","#-pred*c-*pred*v-*obl*r-*obl*pp"
"260","#-pred*c-*pred*v-*obl*r-*obl*pp"
"261","#-pred*c-*pred*c-*pred*v-"
"262","#-pred*c-*pred*c-*pred*v-"
"263","#-pred*v-*adv*r-*obl*pp"
"264","#-pred*v-*adv*r-*obl*pp"
"265","#-pred*c-*pred*v-*sub*ne"
"266","#-pred*c-*pred*v-*sub*ne"
"267","#-pred*v-*obj*nb*atr*nb"
"268","#-pred*v-*obj*nb*atr*nb"
"269","#-pred*v-*comp*g-*pred*v-*adv*r-"
"270","#-pred*v-*comp*g-*pred*v-*adv*r-"
"271","#-pred*c-*pred*v-*obj*nb*atr*pp"
"272","#-pred*c-*pred*v-*obj*nb*atr*pp"
"273","#-pred*v-*adv*c-"
"274","#-pred*v-*adv*c-"
"275","#-pred*obl*c-*obl*nb"
"276","#-pred*obl*c-*obl*nb"
"277","#-pred*v-*adv*r-*obl*ne"
"278","#-pred*v-*adv*r-*obl*ne"
"279","#-pred*c-*pred*v-*obl*nb*aux*s-"
"280","#-pred*c-*pred*v-*obl*nb*aux*s-"
"281","#-pred*v-*adv*g-*pred*v-*xadv*v-"
"282","#-pred*v-*adv*g-*pred*v-*xadv*v-"
"283","#-pred*v-*xadv*v-*adv*df"
"284","#-pred*v-*xadv*v-*adv*df"
"285","#-pred*v-*obj*px"
"286","#-pred*v-*obj*px"
"287","#-pred*c-*pred*v-*sub*v-"
"288","#-pred*c-*pred*v-*sub*v-"
"289","#-pred*v-*obj*a-"
"290","#-pred*v-*obj*a-"
"291","#-pred*v-*sub*c-*sub*ne"
"292","#-pred*v-*sub*c-*sub*ne"
"293","#-pred*v-*adv*r-*obl*c-"
"294","#-pred*v-*adv*r-*obl*c-"
"295","#-pred*c-*pred*v-*adv*nb"
"296","#-pred*c-*pred*v-*adv*nb"
"297","#-pred*v-*adv*r-*obl*v-"
"298","#-pred*v-*adv*r-*obl*v-"
"299","#-pred*v-*xobj*c-*xobj*nb"
"300","#-pred*v-*xobj*c-*xobj*nb"
"301","#-pred*v-*sub*pp*aux*df"
"302","#-pred*v-*sub*pp*aux*df"
"303","#-pred*c-*pred*v-*xadv*v-*obj*nb"
"304","#-pred*c-*pred*v-*xadv*v-*obj*nb"
"305","#-pred*v-*sub*nb*atr*a-"
"306","#-pred*v-*sub*nb*atr*a-"
"307","#-pred*sub*pp"
"308","#-pred*sub*pp"
"309","#-pred*xobj*xobj*nb"
"310","#-pred*xobj*xobj*nb"
"311","#-pred*adv*r-*obl*c-"
"312","#-pred*adv*r-*obl*c-"
"313","#-pred*v-*xadv*v-*comp*g-*pred*v-"
"314","#-pred*v-*xadv*v-*comp*g-*pred*v-"
"315","#-pred*xobj*r-*obl*nb"
"316","#-pred*xobj*r-*obl*nb"
"317","#-pred*c-*pred*v-*sub*c-*sub*nb*aux*s-"
"318","#-pred*c-*pred*v-*sub*c-*sub*nb*aux*s-"
"319","#-pred*c-*pred*aux*df"
"320","#-pred*c-*pred*aux*df"
"321","#-pred*c-*pred*sub*nb*aux*s-"
"322","#-pred*c-*pred*sub*nb*aux*s-"
"323","#-pred*v-*adv*g-*pred*v-*sub*px"
"324","#-pred*v-*adv*g-*pred*v-*sub*px"
"325","#-pred*v-*sub*sub*sub*nb"
"326","#-pred*v-*sub*sub*sub*nb"
"327","#-pred*v-*adv*c-*adv*r-"
"328","#-pred*v-*adv*c-*adv*r-"
"329","#-pred*v-*adv*r-*obl*v-*aux*s-"
"330","#-pred*v-*adv*r-*obl*v-*aux*s-"
"331","#-pred*c-*pred*v-*sub*nb*atr*pp"
"332","#-pred*c-*pred*v-*sub*nb*atr*pp"
"333","#-pred*v-*xadv*v-*obj*c-*obj*nb*aux*s-"
"334","#-pred*v-*xadv*v-*obj*c-*obj*nb*aux*s-"
"335","#-pred*v-*xadv*v-*adv*r-*obl*nb*aux*s-"
"336","#-pred*v-*xadv*v-*adv*r-*obl*nb*aux*s-"
"337","#-pred*v-*comp*v-*adv*r-"
"338","#-pred*v-*comp*v-*adv*r-"
"339","#-pred*v-*xobj*v-*obl*r-"
"340","#-pred*v-*xobj*v-*obl*r-"
"341","#-pred*c-*pred*v-*sub*c-"
"342","#-pred*c-*pred*v-*sub*c-"
"343","#-pred*v-*adv*g-*pred*v-*obl*r-"
"344","#-pred*v-*adv*g-*pred*v-*obl*r-"
"345","#-pred*c-*pred*v-*sub*v-*aux*s-"
"346","#-pred*c-*pred*v-*sub*v-*aux*s-"
"347","#-pred*v-*xadv*v-*obl*r-*obl*nb"
"348","#-pred*v-*xadv*v-*obl*r-*obl*nb"
"349","#-pred*v-*xobj*v-*obj*nb"
"350","#-pred*v-*xobj*v-*obj*nb"
"351","#-pred*c-*pred*v-*sub*nb*atr*nb"
"352","#-pred*c-*pred*v-*sub*nb*atr*nb"
"353","#-pred*v-*obj*c-*aux*c-"
"354","#-pred*v-*obj*c-*aux*c-"
"355","#-pred*v-*obl*c-*obl*nb"
"356","#-pred*v-*obl*c-*obl*nb"
"357","#-pred*v-*adv*r-*obl*nb*atr*nb"
"358","#-pred*v-*adv*r-*obl*nb*atr*nb"
"359","#-pred*v-*obj*nb*atr*v-"
"360","#-pred*v-*obj*nb*atr*v-"
"361","#-pred*obl*pp"
"362","#-pred*obl*pp"
"363","#-pred*c-*pred*v-*sub*px"
"364","#-pred*c-*pred*v-*sub*px"
"365","#-pred*c-*pred*v-*obj*c-*obj*nb"
"366","#-pred*c-*pred*v-*obj*c-*obj*nb"
"367","#-voc*nb*atr*pp"
"368","#-voc*nb*atr*pp"
"369","#-pred*v-*obj*obj*nb"
"370","#-pred*v-*obj*obj*nb"
"371","#-pred*v-*xadv*v-*obj*c-"
"372","#-pred*v-*xadv*v-*obj*c-"
"373","#-pred*c-*pred*v-*obj*nb*atr*a-"
"374","#-pred*c-*pred*v-*obj*nb*atr*a-"
"375","#-pred*adv*r-*obl*nb*aux*s-"
"376","#-pred*adv*r-*obl*nb*aux*s-"
"377","#-pred*xobj*c-*xobj*a-"
"378","#-pred*xobj*c-*xobj*a-"
"379","#-pred*v-*adv*g-*pred*v-*obj*pp"
